[00:00:00.000] 男：你看我我大妈妈和二妈妈他们。
[00:52:28.940] 男：要做好。
[00:52:32.320] 男：你爸好啊。
[00:52:33.720] 女：你掉不了。
[00:52:37.480] 女：我刚才。
[00:52:39.900] 女：不说了说了，你要说。
[00:52:43.620] 女：不知道，那你要说我就不要搞。
[00:52:49.060] 女：笑死我了。
[00:52:52.140] 女：然后段老师就变成严厉的家长。
[00:52:56.220] 男：看我有没有那么大的。
[00:52:58.300] 女：有点忙也会有一点点。
[00:53:01.060] 男：哦，确实会有很严重吗？
[00:53:03.445] 男：不严重。
[00:53:07.200] 男：我感觉这个好像是每个身处大男子主义家庭的长呃男男丁的。
[00:53:15.500] 女：没事的，我我初中跟我爸反抗过。
[00:53:19.100] 女：然后我当时还私聊给我班主任说我操我跟我爸家人就这样这样子，那我死了算了。
[00:53:26.620] 女：你要让我班主任吓得要死，把我把跟我的聊天截图截图给我爸看。
[00:53:31.312] 女：我说我操父子，你说了这样的话，你你你你可以聊快聊一下，我班主任跟我聊。
[00:53:37.120] 女：然后反正就那个时候，我发现了我爸我爸某些方面的无可救药。
[00:53:43.480] 男：你知道吗？
[00:53:44.920] 男：我我弟就是。
[00:53:47.820] 男：我妈过生日那一次。
[00:53:49.940] 男：他们两个口。
[00:53:53.360] 女：提过吗？
[00:53:53.963] 女：你跟我提过，那你没有说的很清楚。
[00:53:56.920] 男：嗯，总之就是哎呀我爸觉得他不容易，我妈也觉得他不容易。
[00:54:01.019] 男：他们两个因为这个事情吵架了，我我爸觉得我妈不会给我做的。
[00:54:05.680] 男：我妈觉得我爸忽略了他心里的感受。
[00:54:08.800] 男：然后呢，那天晚上。
[00:54:11.160] 男：让我弟初一，他高高一，现在那天晚上给他请假回家给我妈过生日，吃蛋糕的。
[00:54:18.180] 男：然后他们两个在吹蜡烛，吹完蜡烛之后吵。
[00:54:21.840] 男：吵起来，我弟就直接做好。
[00:54:24.420] 男：生气吧，帅吗？
[00:54:25.800] 男：对，他说你们要吵架就不要让就给我请就不要给我请假回家。
[00:54:31.034] 男：我请假回家是想好好好的一家人坐在一起，而不是在。
[00:54:37.140] 男：然后他就回房间锁着门了，然后后面我爸就带着笑笑回去睡觉，然后我妈。
[00:54:45.420] 男：就是一直。
[00:54:48.220] 男：哦，我不知道是。
[00:54:49.400] 男：然后过了一会儿。
[00:54:50.940] 男：我妈心情挺不好了，她去给我弟敲我弟的门，让我弟出来给他拿个蛋糕。
[00:54:57.300] 男：我弟就给了一口气。
[00:54:59.400] 男：然后我妈看完他又在哭，我说。
[00:55:02.940] 男：老二写的很。
[00:55:05.740] 男：呃，总结一下，就是说我弟我弟对我爸那个。
[00:55:11.740] 男：不满到了极点，他说就是我确实没想到，他直接在那那封信里面直言我爸的名字。
[00:55:19.097] 男：他说我爸段旭涛仗着自己作为大家长，然后具有劳动力去外面挣钱。
[00:55:25.620] 男：你拿这个就是大概是这个意思，拿这个去。
[00:55:29.440] 男：是对我忽视我妈。
[00:55:32.000] 男：妈妈在家。
[00:55:33.440] 女：哈伦裤。
[00:55:35.080] 男：我发现所有的封建大家长都是都有这个特性，就是只强调自己的付出和委屈，而往往忽视另一半妻子的感受。
[00:55:45.300] 男：贴个合理的。
[00:55:47.140] 男：在他们眼里，就变成了不会过日子的。
[00:55:50.140] 男：那种很浅薄的表现，我对这一点特别不满。
[00:55:54.520] 男：我我很高兴，就是我有点难过，我就这样想我爸爸，因为我现在我也能体会到我爸的难。
[00:56:01.740] 男：但是我也很高兴我弟能这样子去为我妈妈着想。
[00:56:06.220] 男：考虑到我妈妈的情感。
[00:56:08.344] 女：支配是这样的。
[00:56:10.060] 男：所以。
[00:56:11.580] 男：对，所以那次之后呃，看到我订那个之后，我。
[00:56:16.780] 男：然后第二天。
[00:56:19.220] 女：嗯，没有说哎。
[00:56:22.400] 男：十四二。
[00:56:28.680] 男：所以。
[00:56:49.600] 女：嗯，你很厉害。
[00:56:59.820] 女：在家庭里面。
[00:57:02.900] 女：你还在哪里？
[00:57:04.800] 女：不是。
[00:57:05.680] 女：他们都没有特别特别跟我说，都是我自己发现。
[00:57:10.580] 女：让他们再试探性。
[00:57:13.500] 女：控制。
[00:57:15.300] 女：想到那个我。
[00:57:17.380] 男：这就是我觉得董事是一个很。
[00:57:20.920] 男：能看到吗？
[00:57:25.480] 女：不说了。
[00:57:40.940] 女：不知道。
[00:57:42.740] 女：不知道。
[00:57:44.620] 男：那就不要想。
[00:57:47.700] 男：我不给你压力。
[00:57:52.700] 男：抱着我。
[00:59:14.560] 女：我没事。
[00:59:19.820] 男：你到宿舍吗？
[00:59:32.440] 男：那就要。
[00:59:33.820] 女：如果还是。
[01:00:02.038] 男：嗯，好。
[01:00:14.978] 男：哎，我这个裤子袋子。
[01:00:24.838] 男：已经把你安全送到学校了。
[01:00:36.058] 男：11点多回去直接睡觉。
[01:00:42.578] 男：难道不会摔倒吗？
[01:00:45.478] 男：那就早点洗澡。
[01:01:05.638] 男：女孩家庭。
[01:01:08.258] 男：我可能我我真的确实。
[01:01:12.578] 男：有一点点你说的大家长的能够找。
[01:01:18.038] 男：我说呢？
[01:01:19.158] 男：然后我的性格啊什么的，可能会真的。
[01:01:23.138] 男：八块优惠。
[01:01:25.038] 男：嗯，懒得出去，看上去。
[01:01:27.598] 女：对。
[01:01:37.878] 男：还挺便宜的。
[01:01:39.578] 女：你你让我找。
[01:01:42.738] 男：今天下午。
[01:01:44.638] 男：两点多钟的门，到现在，他他他收了30块钱. 
[01:01:48.684] 女：他说不知道我都。
[01:01:51.098] 男：不去了。
[01:01:52.358] 女：开卡。
[01:02:07.038] 男：你的手机带好了吗？
[01:02:09.078] 男：你在口袋吗？
[01:02:10.000] 男：再摸一下。
[01:02:52.638] 女：好一个呀。
[01:02:56.418] 男：你真的不要拒绝我。
[01:02:58.938] 男：最好不要再信得过的人。
[01:03:01.678] 女：不会。
[01:03:03.158] 女：你答应相信你还。
[01:03:05.258] 女：那可不。
[01:03:07.818] 男：你不是从那个。
[01:03:11.518] 男：到时候以后跟外面的人，你要你要保护好自己。
[01:03:16.698] 男：好吗？
[01:03:17.898] 女：嗯。
[01:03:19.158] 男：我这真的。
[01:03:22.198] 男：你好。
[01:03:24.438] 男：怎么了？
[01:03:27.098] 男：要不增加点8。
[01:03:37.658] 男：这个世界上。
[01:03:43.638] 女：嗯，只能说他们他们他们。
[01:03:47.878] 女：他们不配我的我的我的。
[01:03:51.718] 男：天道好轮回，苍天绕过谁能早晚会被雷劈。
[01:03:56.838] 女：那我呢？
[01:04:11.838] 女：栀子花的香水的，你这家伙小心都这么多。
[01:04:28.438] 男：讲了一个钻石当做过渡性方案。
[01:04:32.178] 男：就是我们像。
[01:04:34.658] 男：我们保持像以前那样的人。
[01:04:37.898] 男：因为工作就停留在。
[01:04:41.038] 男：牵手摸摸抱抱吧。
[01:04:44.258] 女：去汗好吗？
[01:04:46.918] 男：好不好？
[01:04:50.038] 女：嗯。
[01:04:53.238] 男：先回宿舍了，等一下阿姨又把你。
[01:04:58.258] 男：就是关系的时候。
[01:05:02.958] 男：导演怎么说。
[01:05:04.342] 女：导演就说了我一下，然后给我弄的。
[01:05:09.278] 女：不知道补完他们给我弄了吗？
[01:05:12.838] 男：家里可以帮你的。
[01:05:14.558] 女：又一个没有。
[01:05:21.558] 男：我是。
[01:05:24.378] 男：再给你。
[01:05:26.158] 男：我感觉有点脱掉的意思，但是我还是要在这。
[01:05:30.178] 女：嗯。
[01:05:31.218] 男：真正的对对你喜欢的人会。
[01:05:35.158] 男：为你着想的人。
[01:05:36.518] 男：绝对不是为了从你身上获取什么。
[01:05:40.678] 男：让他感到愉悦的事情，而是真的为你着想。
[01:05:45.498] 男：好吗？
[01:05:46.838] 男：不单单是考虑你的当下，还要为你的。
[01:05:50.458] 男：至少至少不能让你受到伤。
[01:06:03.858] 女：嗯，不能说。
[01:06:08.578] 女：突然突然的一天，今天晚上消耗都不太多了。
[01:06:18.438] 男：答应。
[01:06:32.078] 男：星期一给我拿出来了，要告诉我。
[01:06:36.558] 男：好不好？
[01:06:37.678] 女：嗯。
[01:06:51.238] 女：那我这个喜欢上你那个。
[01:06:54.398] 女：我说这个社会。
[01:06:58.978] 女：要不把两个酒混到一起？
[01:07:01.438] 男：啊，酒混在酒和饮料混在一起。
[01:07:06.658] 男：酒和你聚在一起。
[01:07:08.398] 男：很容易对你被分两种。
[01:07:16.958] 女：然后他当时就说，如果现在做完饭就。
[01:07:29.138] 女：然后他说你。
[01:07:31.158] 女：嗯，你和我听的好，反应这么大，那你更应该和。
[01:07:36.878] 女：然后最后一个就是他说。
[01:07:44.158] 男：伤害你的皮肤上。
[01:07:52.198] 男：你喝酒的时。
[01:07:55.138] 女：很棒。
[01:08:00.158] 男：那你答应我。
[01:08:03.078] 男：在这段时间里。
[01:08:07.578] 女：有没有？
[01:08:08.638] 女：然后过去。
[01:08:09.938] 女：一般都四十多岁。
[01:08:26.818] 男：我操二十八了。
[01:08:42.758] 男：充电宝就先放在你那。
[01:08:49.758] 男：有什么东西忘记了吗？
[01:08:52.303] 女：谢谢你的嗯。
[01:08:57.238] 女：走，快走。
[01:09:36.178] 男：好吧。
[01:09:42.618] 女：有的人不好吗？
[01:09:43.838] 女：然后我们还是像以前那样相处。
[01:09:47.618] 女：见面了，斗斗嘴不好吗？
[01:09:49.971] 男：那个了嗯。
[01:09:56.198] 女：好累。
[01:09:59.018] 男：嗯，你这样带着我走着。
[01:10:13.178] 女：欢迎欢迎欢迎欢欢，你好，欢迎欢迎欢迎。
[01:10:17.998] 女：哎。
[01:10:29.318] 女：那个。
[01:10:30.898] 女：大的。
[01:10:33.898] 女：不行，我有点困。
[01:10:40.138] 女：我给你发工。
[01:11:39.658] 女：你好。
[01:11:42.838] 女：你好，嗯嗯。
[01:11:49.578] 女：我不要，你不要傻呀。
[01:11:55.038] 女：啊不要想。
[01:11:58.058] 女：我讨厌他看。
[01:12:03.438] 女：讨厌的歌手。
[01:12:09.818] 女：我不要被好朋友表白。
[01:12:18.838] 女：不管你了。
[01:12:24.438] 女：嗯，不要。
[01:12:27.238] 女：这个孩子，这只是人生经历中的意。
[01:12:31.858] 女：只能怪姐她有个人魅力了。
[01:12:37.058] 女：我操你妈。
[01:12:39.458] 女：我说，喜欢谁不好啊。
[01:12:52.058] 女：我觉得我因为因为我不需要调理了，我觉得让朋友调理。
[01:12:58.158] 女：调理一下，我跟你头你拍照吧，你去你去你去跟你朋友说，兄弟，你自己调理一下吧。
[01:13:07.838] 女：关心你自己，你自己调理一下吧。
[01:13:10.684] 女：对啊，我就就是得让女朋友自己调理一下。
[01:13:14.406] 女：你说的对，你说的对。
[01:13:16.538] 女：你说的对。
[01:13:18.958] 女：我操，我不打死。
[01:13:21.158] 女：都掉超级好，难道我又我说你有什么需要调理的吗？
[01:13:26.343] 女：是他自己的。
[01:13:28.058] 女：我不知道。
[01:13:31.078] 女：我不知道啊。
[01:13:36.078] 女：我不知道啊。
[01:13:38.298] 女：我想睡了。
[01:13:40.498] 女：我想。
[01:13:41.578] 女：我操，这个世界是怎么了？
[01:13:43.616] 女：为什么我的手还在吃泡面？
[01:13:45.998] 女：在今天这么动到那一刻的时候，为什么我都是我在吃泡面，为什么为什么今天还没出还没回来看我给他给他给他养了一盒的东。
[01:13:55.518] 女：别想多了，他哎。
[01:14:04.258] 女：没事，你好好看。
[01:14:06.638] 女：啊，那就让你朋友滚蛋吧。
[01:14:09.378] 女：我不要啊。
[01:14:40.058] 女：一层共雨桐，说啥？
[01:14:41.918] 女：你拿了吗？
[01:14:42.980] 女：记号笔。
[01:14:44.438] 女：哎呀，我放回去了，我发现我跟你有一模一样的颜色。
[01:14:48.338] 女：去他妈的。
[01:14:54.238] 女：哎呀，好烦哪，谁是遗传你他妈。
[01:15:22.238] 女：我就想到。
[01:15:23.478] 女：我大学三年都将一直是。
[01:15:42.618] 女：不出来。
[01:15:44.698] 女：不许。
[01:15:49.738] 女：不行。
[01:15:55.238] 女：你不许反悔他。
[01:15:57.798] 女：我明天补考，你今天不喜欢。
[01:16:03.758] 女：啊，不，你妈靠滚蛋。
[01:16:06.818] 女：爱隐蔽隐蔽吧，滚。
[01:16:13.818] 女：在哪儿啊？
[01:16:14.778] 女：哦拜拜。
[01:16:15.498] 女：哎，不行，我得上个车。
[01:16:18.918] 女：哎，我操你妈今天晚上了好多趟厕所，我操你妈。
[01:16:22.318] 女：我操，这个世道是怎么了？
[01:16:24.558] 女：现在社会这么这么绝望。
[01:16:29.438] 女：这个这个社会没救了。
[01:16:33.718] 女：哎，传统的人心，传统的社会，传统的世界。
[01:16:38.141] 女：Ok. 
[01:17:29.778] 女：操你妈还磕头了。
[01:17:35.178] 女：我觉得这不对。
[01:17:43.878] 女：板儿呢？
[01:17:49.378] 女：您你今天也不做运动是吗？
[01:17:52.938] 女：你们吃菠萝蜜不？
[01:18:02.098] 女：这样了我。
[01:18:03.278] 女：别管喝了酒。
[01:18:06.898] 女：喝醉了就是这样的，滚你妈的。
[01:18:11.238] 女：嗯，对对对，他在。
[01:18:17.838] 女：我操。
[01:18:19.898] 女：干啥呢？
[01:18:20.766] 女：张总谁啊？
[01:18:21.923] 女：红吗？
[01:18:22.502] 女：没有在刷那个阅读。
[01:18:31.238] 女：就是我朋友抱着我哭了一晚上。
[01:18:35.438] 女：你朋友还好吧，不会有点缺水吧。
[01:18:38.638] 女：我不好，我他也不好，我怕两个两个人都很不好，然后在那在那抱着哇哇哭，我操这个声音怎么了？
[01:18:48.918] 女：然后一个人喝了40度的貂小白喝两瓶，一个人喝喝就喝了三罐，我操在那干嘛？
[01:18:59.258] 女：这个这个这个社会没救了。
