[00:00:01.040] 男：获得了优惠券。
[00:54:43.080] 女：老公比较长。
[00:55:22.500] 女：好的的。
[00:55:40.020] 女：为什么把那个话一他。
[00:55:42.820] 女：那我要堵死了。
[00:55:48.420] 女：一会儿我们。
[00:55:49.680] 女：啊，等会儿。
[00:55:59.620] 女：只不过那那会儿的照片我还没拍。
[00:56:25.400] 女：在这边能看到下面的人真的很没有安全感。
[00:56:29.080] 女：我上次在这边住，我们看到下面的人都走，他们才可能看到我在这边。
[00:56:43.020] 女：我以前我们保护伞就是因为。
[00:56:45.460] 女：他比较。
[00:57:04.580] 女：如果。
[00:57:11.520] 女：有呀。
[00:57:12.520] 女：把衣服给我，你不给你。
[00:57:18.340] 女：被打了还多。
[00:57:39.620] 女：这边的。
[00:57:42.460] 女：有点光。
[00:58:02.580] 女：那边这个那个。
[00:58:17.420] 男：那个是猫吗？
[00:58:43.000] 男：困了嗯。
[00:58:45.360] 男：晚安。
[00:58:46.600] 女：嗯。
[00:58:53.200] 女：我还以为那叔叔会问你为啥还有特别特别好。
[00:58:57.060] 女：太没问题。
[00:58:57.968] 男：他问你这个干什么？
[00:58:59.785] 男：真的。
[00:59:01.020] 女：是吧可能我现在碰到太多这样的老师或者怎样。
[00:59:04.840] 男：真的闲的，有的真的是真的。
[00:59:06.941] 女：我碰到的都是这样的。
[00:59:12.420] 男：运气不好。
[00:59:14.340] 女：然后然后导致我很多时候做一些事情，我就得遇到很多很多。
[00:59:18.580] 女：各各种结果就是得得把所有东西都交代好了，我才去问。
[00:59:28.720] 女：你朋友你的，你压根就不不管。
[00:59:41.940] 女：有蚊子咬我。
[00:59:46.920] 男：不敢了。
[00:59:49.960] 女：看不到你能不能打光。
[00:59:52.240] 女：看不到。
[01:00:06.718] 男：别他的。
[01:00:13.318] 女：给你不吉利吗？
[01:00:16.398] 男：你找那边。
[01:00:22.698] 男：新莱卡。
[01:00:30.398] 男：我有一个。
[01:00:32.218] 男：我想饭店你会原谅我。
[01:00:34.778] 女：干嘛？
[01:00:38.098] 女：你有病啊。
[01:00:41.278] 女：凉啊。
[01:00:53.118] 女：可爱用的白粉。
[01:01:20.118] 女：大棚也挺大的。
[01:01:23.658] 男：没办法。
[01:01:26.998] 男：你用你先。
[01:01:28.248] 女：说第一个。
[01:01:30.238] 男：为什么？
[01:01:31.678] 女：一直在在搞。
[01:01:33.158] 男：好。
[01:01:44.298] 女：五个。
[01:01:45.518] 女：Are you back? 
[01:01:49.658] 男：我没吃过咸的。
[01:01:54.438] 女：我还挺喜欢吃奶油。
[01:01:56.158] 女：那个颗粒不是很大。
[01:01:59.698] 男：你别这么奶油。
[01:02:04.838] 女：我之前吃别人蛋糕，好像吃过是那种。
[01:02:10.978] 男：这个动物奶油可。
[01:02:14.038] 女：不知道。
[01:02:18.898] 女：怎么样是囤着动物奶？
[01:02:43.438] 男：我蘸点这一点点边。
[01:02:46.758] 男：帮我拿一下。
[01:02:54.738] 男：看样子还。
[01:02:58.278] 男：就是在手里画。
[01:03:02.638] 女：如果不是纯的呢？
[01:03:05.278] 男：那我当时就。
[01:03:09.918] 男：我其实我其实是想找一家合适的，嗯。
[01:03:13.430] 女：你看这这个好，很好吃。
[01:03:17.138] 男：然后找他做生日蛋糕。
[01:03:20.618] 女：我说了，你真的生日蛋糕好难吃。
[01:03:26.498] 女：但不是上一年剩三年，我的妈呀，已经过去两年了。
[01:03:31.878] 男：蛋糕不好吃真的会。
[01:03:39.178] 男：不要求多好吃，但不要蛮。
[01:03:42.778] 女：那个那个我我我当时一口没吃，我先拆出来，先出来分给朋友了，然后分了十几块出去。
[01:03:50.678] 女：我最后回宿舍一起。
[01:03:52.898] 女：现在大家都说挺开心的，结果我也能够。
[01:03:56.018] 女：奶油奶油那个蛋糕配置特别丑。
[01:04:03.778] 女：嗯，奶油也一般，水果一般。
[01:04:06.758] 女：嗯，我就我就很难我就很难过，我这样放了个不好吃的奶油给那么多人。
[01:04:14.038] 男：你别因为我们没吃过咸奶油，所以我判断不出来这个奶油是好事还是。
[01:04:21.018] 男：但我感觉口感不差。
[01:04:25.798] 男：蛋糕胚子我还是觉得做的还是可挺可以的。
[01:04:34.038] 男：你觉得呢？
[01:04:35.606] 女：嗯。
[01:04:42.518] 女：喜乐烘焙那家。
[01:04:44.335] 男：他们只做那个水果。
[01:04:47.018] 女：不做这我不做这样的呀。
[01:04:49.468] 男：普通蛋糕他们不做好吧。
[01:04:52.578] 男：嗯，我我我是想着买榴莲天才给这个给。
[01:04:57.258] 女：不要。
[01:04:59.558] 女：黑色饼干。
[01:05:02.238] 女：我给他的巧克力。
[01:05:04.578] 男：我说的是不是？
[01:05:20.278] 男：哎，给你看看，还有一个。
[01:05:29.258] 男：什么表情？
[01:05:32.238] 男：什么表情？
[01:05:34.398] 男：什么表情？
[01:06:02.698] 女：鄙视。
[01:06:04.598] 女：熟了。
[01:06:06.158] 男：这呢。
[01:06:07.678] 女：暖和。
[01:06:09.078] 男：嗯。
[01:06:13.318] 男：吃饭没？
[01:06:14.638] 男：好，我已经吃了一个收到。
[01:06:18.418] 女：哎，来看还是徕卡。
[01:06:21.178] 女：比不过比不过。
[01:06:25.538] 男：11都是多少年前的。
[01:06:27.858] 女：很多很多年前了。
[01:06:29.662] 女：对啊。
[01:06:31.358] 男：我觉得最高。
[01:06:33.018] 男：高一的时候吧。
[01:06:35.538] 男：还是更高。
[01:06:37.738] 女：我不知道。
[01:06:41.598] 男：反正我这个是二三年的手机啊。
[01:06:45.258] 男：到现在也是三年。
[01:06:54.518] 男：At the. 
[01:07:12.958] 男：送你回去睡觉。
[01:07:16.118] 男：我真的是有精神了。
[01:07:22.738] 男：酒喝少了是吧？
[01:07:27.258] 男：没事的。
[01:07:31.958] 男：睡吧，睡吧睡吧。
[01:07:48.638] 女：冷死你在这睡觉。
[01:07:52.578] 男：没事啊。
[01:08:03.358] 女：挑衅我？
[01:08:08.058] 女：你干嘛不吃了？
[01:08:10.398] 男：等你说完了没？
[01:08:13.678] 女：那你挺甜的。
[01:08:14.928] 男：看你看他挑衅你。
[01:08:17.598] 女：这次各位师生的饭淋在这儿了。
[01:08:23.018] 男：剩下的交给你了。
[01:08:26.478] 男：我已经吃掉。
[01:08:27.943] 女：一半了，好浪费哦哪个草莓？
[01:08:31.166] 女：对不起啊。
[01:08:33.458] 女：我连叶子都吃掉了。
[01:08:35.718] 男：Or create. 
[01:08:37.018] 女：嗨对不起。
[01:08:39.038] 男：嗯，就是菜吧，菜菜嘛。
[01:08:46.798] 男：你是被动的吧。
[01:08:48.858] 男：嗯。
[01:08:50.218] 男：被冻着了吧。
[01:08:52.238] 女：应该不是。
[01:08:55.858] 男：喝酒喝的应该不是。
[01:08:59.838] 男：那是什么？
[01:09:02.958] 女：走都走多了。
[01:09:05.338] 男：嗯。
[01:09:13.938] 女：有点咸了，我之前吃的那种咸的没有这么咸。
[01:09:19.578] 女：他那那那个天比较自然一点的。
[01:09:25.898] 女：你说要订蛋糕吗？
[01:09:27.928] 女：哦也快了嗯。
[01:09:32.638] 男：我的小哥。
[01:09:34.398] 女：给你放个桶。
[01:09:38.458] 女：会动的那种。
[01:09:43.438] 男：说好，不要猎奇的，不猎奇。
[01:09:46.552] 女：很可爱的。
[01:09:49.678] 男：原来是这样。
[01:10:02.738] 男：你躺在这上面，头顶的这不凉吗？
[01:10:06.278] 女：你不来啊。
[01:11:11.178] 男：睡着了。
[01:11:12.398] 女：没有。
[01:11:21.258] 女：走吧。
[01:11:26.098] 男：走吧。
[01:11:35.618] 女：可。
[01:11:37.278] 男：不要回。
[01:11:44.218] 女：嗯，没有落东西吧。
[01:11:45.954] 男：没有啊。
[01:12:24.438] 女：那个大大的我都要看一些东西。
[01:12:53.118] 男：收到。
[01:13:16.018] 女：你看一下里面还有没有。
[01:13:19.518] 女：突然感觉感觉脖子那里有点东西，然后。
[01:13:24.958] 女：放不下来。
[01:13:26.858] 女：然后然后然后他手指套都是抓我。
[01:13:33.158] 男：袖子里没有了。
[01:13:42.838] 女：我的。
[01:13:43.898] 女：宝贝，别闹了。
[01:13:51.378] 女：不是不是不是，他是有点有点大的。
[01:13:57.658] 女：那种冰柜子呢？
[01:13:59.758] 男：我看。
[01:14:02.438] 女：没有了。
[01:14:03.023] 女：没。
[01:14:28.038] 女：开灯。
[01:14:29.798] 女：跟我的开的。
[01:14:58.438] 女：我一会就能找到你。
[01:15:32.678] 女：你要回去吗？
[01:15:33.892] 女：不走。
[01:15:58.938] 女：那我问你那个。
[01:16:25.238] 女：我走了。
[01:16:31.918] 女：你就这个，我能是个怪乖了。
[01:16:50.438] 女：以前跟跟我表哥看懂事。
[01:16:53.438] 女：他他跟他的朋友，他那个。
[01:16:56.518] 女：小学。
[01:17:01.318] 女：还有海口湾的风雨交加。
[01:17:04.118] 女：你看另一半。
[01:17:05.778] 女：然后那个人转过来，然后回头。
[01:17:08.878] 女：那种啊那种。
[01:17:13.958] 女：然后表哥他在笑。
[01:17:16.138] 女：然后我觉得。
[01:17:52.578] 男：开麦之后我就。
[01:18:17.838] 男：这个是假的。
[01:18:21.318] 男：然后退掉了。
[01:18:31.478] 男：包括到初中的时候，我都还。
[01:18:42.458] 男：高中。
[01:19:07.658] 男：我还有一。
[01:19:12.658] 男：现在的。
[01:19:36.958] 男：野鸡生命你也。
[01:19:49.218] 男：反正一天可以把坦克打出来。
[01:19:51.505] 女：放了掉30。
[01:19:52.998] 女：26 40。
[01:19:54.578] 男：所以我就不怕放。
[01:19:57.178] 女：挺好的。
[01:19:58.718] 女：我也可能不看手。
[01:20:03.738] 女：知道明天我比较多。
[01:20:07.898] 女：我就不跟大家做的。
[01:20:14.418] 女：反正我看不懂。
[01:20:16.518] 女：不行了不行了，你过来。
[01:20:23.498] 女：还有那种他马上给我讲嘴肚子。
[01:20:27.458] 女：他给我看了很多。
[01:20:33.058] 女：我当时都没什么。
[01:20:35.058] 女：我先睡了。
[01:20:35.954] 女：还。
[01:20:37.258] 女：祝你好好玩的很。
[01:20:45.518] 女：然后呢，我然后然后我六年级才会学校电脑队。
[01:20:50.138] 女：操作那个。
[01:20:52.638] 女：然后我我还是会画画，我我在那个机场在上面画。
[01:21:26.658] 女：你你才会有点。
[01:21:38.458] 男：我不忘了。
[01:22:02.038] 男：有人看到我我不是我不是第一个跳的，我是看到。
[01:22:18.058] 男：那我就跳进去了。
[01:22:19.998] 男：跳下去。
[01:22:21.358] 男：打了个。
[01:22:28.138] 女：你你是有意思的，还是就是有意识的用一些技巧还是怎么样呃？
[01:22:33.598] 男：初中上那个这个。
[01:22:46.978] 女：好好看。
[01:23:05.638] 男：原味水蜜桃。
[01:23:10.598] 男：你好。
[01:23:11.698] 男：我要听。
[01:23:13.758] 男：你说哪个？
[01:23:15.058] 女：说一下。
[01:23:17.378] 男：水蜜桃。
[01:23:52.798] 男：Hello. 
[01:24:02.018] 男：找人上或者。
[01:24:09.078] 男：然后那天早上吃完早饭。
[01:24:11.778] 男：早早课的时候也不是早课，轮到起来。
[01:24:15.638] 男：第第三节上班主任的课的时候，他就问今天早上都谁跳？
[01:24:24.438] 男：他说。
[01:24:27.458] 男：我听到的。
[01:24:28.358] 男：抓迟到了，没什么大不了，我又不会缺。
[01:24:35.278] 男：不要。
[01:24:39.338] 男：我说为什么强调这个事情？
[01:24:43.958] 男：英语课代表。
[01:24:45.898] 女：嗯，大头票了。
[01:24:47.718] 男：要。
[01:24:49.358] 男：啊，没被抓到，然后呢，腿折了，去医院了，一个早上没看到他。
[01:24:54.778] 男：啊，喜欢跳。
[01:25:19.778] 男：没有啊。
[01:25:21.578] 男：不要被我抓到了哦。
[01:25:23.718] 女：嗯，差不多了哦。
[01:25:26.858] 男：哦，我突然想起来了他的语。
[01:25:29.878] 女：哼，这么久，你还记得？
[01:25:34.718] 男：没他，我看不到。
[01:25:50.098] 男：这是班里的。
[01:26:16.578] 男：以后考不上高中，有了你。
[01:26:37.378] 男：你说这样好的高中的。
[01:26:44.998] 男：干嘛到这个。
[01:27:43.218] 男：让你早睡，没有让你现在就睡啊啊。
[01:27:54.038] 男：你也这样。
[01:27:56.038] 男：你也是老师。
[01:28:09.758] 男：没有喂。
[01:28:10.618] 女：老屁股好打呀。
[01:28:19.298] 女：啊，能能听的。
[01:28:26.658] 男：不到一秒就反应过来了，哎，我都不知道我应该高兴还是感到无力啊。
[01:28:51.438] 女：滚了滚了，滚，快点快点。
[01:29:09.398] 女：你有个什么东西，你告诉他有个什么东西。
[01:29:12.818] 女：面包两个。
[01:29:19.858] 女：没拿我爸。
[01:29:21.498] 女：还不好卖。
[01:29:24.178] 男：手动漫游戏王。
[01:29:28.998] 女：滚吧。
