[00:00:00.520] 女：我感觉我可以借着和他。
[00:34:52.900] 女：就是在在和你的关系之中，他他都会存在，你别说和别的人嗯嗯。
[00:35:01.620] 女：这样子。
[00:35:03.820] 男：嗯。
[00:35:06.020] 女：所以我会感觉对对某些问题还是挺包容的。
[00:35:13.420] 女：嗯，小熊抱抱抱抱。
[00:35:15.621] 男：你怎么办？
[00:35:18.780] 女：弟弟宝宝。
[00:35:21.700] 女：嗯，我我感觉就想要李子做，李子不做，我就李子想要这么。
[00:35:28.166] 男：做好不公平。
[00:35:29.572] 男：嗯，没有我我也是。
[00:35:31.680] 男：你们想让我说。
[00:35:34.520] 男：的时候我也想给你做做。
[00:35:39.520] 男：那就是。
[00:35:41.080] 女：很难过。
[00:35:43.800] 女：连自己什么都没有给你做。
[00:35:46.540] 男：嗯，你说能和我抱抱，紧紧就。
[00:35:50.060] 男：挺好的吧。
[00:35:53.020] 男：对吧？
[00:35:54.300] 男：那只是一个。
[00:35:56.320] 男：那不是一个什么很很重要的事情啊。
[00:36:01.180] 女：病人。
[00:36:02.440] 男：骗人。
[00:36:05.580] 女：哎，明明就会想到吧。
[00:36:07.350] 女：对。
[00:36:07.571] 男：会想要是一回事，但是他是不是必须的是另外一回事。
[00:36:14.880] 男：对吧？
[00:36:20.140] 男：就是他可能在生理上会想要。
[00:36:25.600] 男：当然是有办法去控制的呀。
[00:36:33.440] 男：那又不是不是某种非做不可的事情呀。
[00:36:39.480] 女：浙江下去有时不会想象把你鸡巴剪了的。
[00:36:43.840] 男：啊。
[00:36:45.620] 女：等等。
[00:36:46.860] 男：那怎么办？
[00:36:49.860] 女：嗯。
[00:36:50.960] 男：那那那种就是黑猫是。
[00:36:52.856] 女：这样这样的这样的想象，我这个是我现在就想象到。
[00:36:57.480] 男：操。
[00:36:59.840] 男：那。
[00:37:03.460] 女：嗯，那这样的话就有一个好好好的理由了，防防止你就出现暴力倾向。
[00:37:09.380] 女：对对你的身体造成损坏，所以回避掉比较好。
[00:37:15.020] 男：好好哦。
[00:37:17.080] 男：确实。
[00:37:19.040] 男：这是你，这还是你还是。
[00:37:21.620] 男：不做比较好。
[00:37:28.000] 女：我不好自己追问。
[00:37:29.782] 男：天了，我胯下一凉啊。
[00:37:32.720] 女：保护好自己，这样会好。
[00:37:37.240] 女：嗯。
[00:37:38.420] 女：男性的身体会比女性的身体更好。
[00:37:41.960] 男：刚好是吗？
[00:37:46.140] 男：第二，有了哎呀，操。
[00:37:54.320] 男：你想。
[00:37:58.560] 男：哎，就是。
[00:38:00.420] 男：Hello. 
[00:38:02.000] 女：嗯，说。
[00:38:04.200] 男：我得问个事儿。
[00:38:06.700] 女：什么呀？
[00:38:07.880] 男：就是其实也我觉得不是啥特别重要的。
[00:38:12.960] 女：我才好好紧张。
[00:38:15.560] 男：我这两天有紧张是吧？
[00:38:17.940] 女：很方便的啊。
[00:38:20.520] 女：上面的，哎，对。
[00:38:23.140] 女：对，可以让我怎么回答吗？
[00:38:25.254] 男：应该不会。
[00:38:27.340] 男：就是啥呢？
[00:38:29.012] 男：就是咱俩不是。
[00:38:32.020] 男：在窗台旁边亲亲的时候吗？
[00:38:36.620] 男：对，然后你不是说我顶到你了吗？
[00:38:41.520] 男：对吧？
[00:38:42.980] 男：当时是在开玩笑吗？
[00:38:44.761] 男：还是在说什么呀？
[00:38:50.060] 男：嗯。
[00:38:51.920] 女：什么意思？
[00:38:53.002] 女：说说我这句话是什么。
[00:38:55.437] 男：意思吗？
[00:38:56.249] 男：嗯。
[00:38:57.060] 男：我怕我怕我怕的是我顶到你会。
[00:39:03.040] 男：有一些不好的影响吧。
[00:39:06.174] 女：Ok那这样。
[00:39:07.567] 男：的那就ok。
[00:39:09.360] 女：我在调侃你这家伙。
[00:39:11.831] 男：对。
[00:39:13.100] 男：当时我不就说，那没办法给搪塞过去了吧。
[00:39:18.660] 女：就是就是因为因为因为那个情境是他听的很。
[00:39:23.520] 女：然后突然间他本来身体贴的很紧的。
[00:39:27.180] 女：看到这下体有个硬硬的顶顶在中间，很搞笑。
[00:39:32.660] 男：那是真没办法呀。
[00:39:36.020] 男：你不是我的嗯，你说。
[00:39:38.360] 女：我我知道是没办法，是我就觉得很搞笑，我以后我就我就可以拿来调侃你啊。
[00:39:46.620] 女：嗯，你就说你害不害羞吧。
[00:39:48.676] 男：那我就是害羞啊，我都不知道说啥了。
[00:39:52.920] 男：操。
[00:39:55.940] 女：你看我就想啊，郑杰文你也硬了吧。
[00:39:59.178] 男：听着听着来一句顶到。
[00:40:05.020] 男：哎。
[00:40:09.820] 男：没办法。
[00:40:15.180] 男：对吧？
[00:40:15.638] 男：对，那就没事，我还。
[00:40:17.241] 女：巴不得你我还巴不得你操我呢。
[00:40:20.580] 女：总会有这个工具。
[00:40:25.780] 男：那应该就没都。
[00:40:26.980] 女：给录进去了吧。
[00:40:28.540] 男：哦，这个也录进去了。
[00:40:30.860] 男：段路我都快忘了。
[00:40:36.040] 女：嗯，那能不能抽我？
[00:40:38.620] 男：哎。
[00:40:41.800] 男：得看。
[00:40:47.700] 女：什么时候抄我？
[00:40:51.800] 男：这是能给一个时间的吗？
[00:40:55.480] 女：我我给你买我给你买避孕套。
[00:40:59.080] 男：看你在家不？
[00:41:01.660] 男：哎，你不如先买一盒纸糖。
[00:41:05.700] 男：这东西还是比较没用完。
[00:41:07.876] 女：你别过期的吧。
[00:41:09.183] 男：这东西还是比较现实的。
[00:41:13.900] 男：哎，对，上上次我见你我带知道。
[00:41:18.840] 女：没有啊。
[00:41:19.533] 男：带鸡毛啊，我没带，你他妈。
[00:41:21.844] 女：内裤都没带。
[00:41:25.060] 男：你这这。
[00:41:27.060] 男：也不是特别怪我吧。
[00:41:31.160] 男：我稍稍微狡辩一小下。
[00:41:39.240] 男：嗯。
[00:41:41.160] 男：宝宝。
[00:41:43.340] 女：嗯，我想你。
[00:41:44.673] 男：我也想你吗？
[00:41:46.880] 女：把那个草里面嗯。
[00:41:49.438] 男：好啊，带着。
[00:41:51.140] 男：卫生一点。
[00:41:54.220] 女：你把把李子塑造成你的形状。
[00:41:58.220] 男：嗯哼嗯哼。
[00:42:00.000] 男：抱抱呢？
[00:42:03.220] 女：嗯。
[00:42:06.360] 女：你想不想嘛？
[00:42:15.740] 男：你这样问有点犯规。
[00:42:19.560] 女：为什么？
[00:42:21.180] 男：怎么了？
[00:42:23.160] 男：你说什么？
[00:42:24.500] 男：为什么那么不，你这样是在问。
[00:42:29.160] 男：所有男性的异性欲望。
[00:42:35.640] 男：你问的是这个东西，你让我懂了吧。
[00:42:40.640] 女：嗯嗯，为什么不知道怎么。
[00:42:45.760] 男：嗯。
[00:42:50.200] 男：我要说不想我就不是男的了。
[00:42:54.080] 女：对呀对呀对呀，天哪。
[00:42:56.660] 男：但但但这不代表着我想我就要去做吗？
[00:43:03.560] 女：那李子轻轻的说，你也想到吗？
[00:43:06.200] 男：嗯。
[00:43:08.220] 男：某些时候会。
[00:43:13.840] 女：嗯。
[00:43:15.220] 女：抱抱抱抱。
[00:43:17.158] 男：哎，怎么了怎么了呢？
[00:43:21.036] 女：咋了？
[00:43:22.005] 男：嗯，好吗？
[00:43:25.120] 女：这个话题已经从已经从单纯的开玩笑的调侃变成了一种。
[00:43:30.840] 女：我首先记得。
[00:43:32.760] 男：变成了一个什么？
[00:43:35.440] 女：为啥一看见好消息十分实际的讨论？
[00:43:42.720] 男：哎。
[00:43:44.820] 男：先说着呗。
[00:43:47.400] 女：嗯嗯。
[00:43:48.640] 男：先说着，总比突然就就就来强上不少。
[00:43:56.240] 女：嗯。
[00:44:01.560] 女：嗯嗯，嗯嗯。
[00:44:04.600] 女：有时候你就真的嗯嗯，我很想很想很想做，嗯，是是是。
[00:44:12.720] 男：抱抱呢，哼哼。
[00:44:17.260] 女：难受啊。
[00:44:18.452] 男：哎呀，抱抱呢？
[00:44:21.720] 女：可能嗯。
[00:44:25.220] 男：什么呢？
[00:44:26.420] 男：嗯，有的时候。
[00:44:31.180] 男：不太能啊，对吧？
[00:44:35.020] 女：嗯，嗯嗯。
[00:44:37.120] 男：抱抱抱抱。
[00:44:39.140] 女：抱抱。
[00:44:40.300] 男：宝宝吗？
[00:44:44.540] 男：咱俩总得需要有判断力呀。
[00:44:59.860] 男：爸爸，你的呢？
[00:45:01.760] 男：嗯，你的。
[00:45:06.040] 男：你吃。
[00:45:07.880] 女：嗯嗯。
[00:45:09.300] 男：每次呢。
[00:45:12.860] 男：一次一次。
[00:45:16.840] 男：棒棒的。
[00:45:17.640] 男：棒棒的。
[00:45:21.960] 男：不不不不不不。
[00:45:24.240] 男：不不不不。
[00:45:28.680] 女：你说的身体就这么屌，为什么？
[00:45:31.280] 女：为什么不腻呢？
[00:45:32.980] 男：不逆。
[00:45:35.560] 男：对了，嗯，我会对你的身体感到腻，是吗？
[00:45:41.720] 女：就是对啊，就就这么一个，然后什么都读不完了，讲什么上去不知道了。
[00:45:49.080] 女：没什么神秘的地方了。
[00:45:52.920] 男：嗯，那那不能这样说吧。
[00:45:58.340] 男：这是。
[00:46:00.320] 男：对，就是就像就像你吃东西一样。
[00:46:04.940] 男：你天天吃饭会感到你哦，你可能确实会。
[00:46:11.860] 男：就像我吃东西一样。
[00:46:15.300] 男：你不能这样说，怎么说呢？
[00:46:22.920] 男：啊，对，就是。
[00:46:24.920] 男：嗯，去触碰女子的身体。
[00:46:29.920] 男：他的他的吸引我的地方，或者说我喜欢的地方，并不在于这个身体本身。
[00:46:40.520] 男：对，而是在于呃，我在触碰你的这个行为当中。
[00:46:47.800] 男：我与你之间的那种。
[00:46:51.180] 男：果冻吧。
[00:46:53.480] 男：这个嗯。
[00:46:55.380] 男：这个这个是是。
[00:46:58.340] 男：是那个我觉得。
[00:47:02.220] 男：但做到地位的。
[00:47:06.560] 女：跟你们学学吻技好不好？
[00:47:08.960] 男：学学好，我学。
[00:47:13.120] 女：那谁先你和子豪先就是行。
[00:47:15.540] 男：我问问子豪应该怎么亲。
[00:47:18.260] 女：哦，我以为你主要是建议啊。
[00:47:21.980] 男：子航，你他妈一脚把我剁到门外面去。
[00:47:26.660] 女：嗯嗯，到了阴山宫。
[00:47:30.140] 男：你别说子涵那瘦瘦瘦。
[00:47:33.700] 男：这小个儿，我还真能把黄金上钩。
[00:47:41.200] 女：楠楠，那我支持你们这对啊。
[00:47:44.676] 男：你这家伙。
[00:47:47.600] 女：婚姻。
[00:47:49.080] 男：嗯。
[00:47:50.880] 女：想想想想。
[00:47:53.840] 女：嗯。
[00:47:54.192] 男：我也想你妈那个。
[00:47:57.260] 男：嗯。
[00:47:59.480] 女：今天的。
[00:48:00.880] 女：可能的。
[00:48:02.100] 男：嗯。
[00:48:03.220] 男：抱抱你吃吗？
[00:48:07.080] 女：朋友生。
[00:48:09.520] 男：嗯，爱上你了。
[00:48:12.980] 男：问一下你到底做不做？
[00:48:14.763] 女：我感我想你的是什么呢？
[00:48:16.744] 女：如果说的具体一点就是怎么办？
[00:48:19.460] 男：哼哼。
[00:48:21.300] 男：谁呀？
[00:48:22.840] 女：这是一种非常幼稚的，非常自我的一个非常本能的那种。
[00:48:31.220] 男：这种下载西游吗？
[00:48:35.520] 女：不用想再常见吗？
[00:48:38.160] 男：不见。
[00:48:42.820] 男：抱抱呢？
[00:48:45.000] 女：嗯。
[00:48:47.140] 女：女生，为什么呀？
[00:48:50.340] 男：我喜欢。
[00:48:53.460] 女：本地女生会怎么样？
[00:48:55.572] 男：什么？
[00:48:56.700] 女：本地女上位。
[00:49:01.180] 男：哎，我的天哪。
[00:49:03.780] 女：你要穿那种露一半的内衣。
[00:49:08.580] 男：哎，嘿。
[00:49:13.620] 男：我觉得这个人在勾引我，但我没有证据。
[00:49:18.880] 女：那你摸摸脸有没有变变态？
[00:49:21.560] 男：嗯。
[00:49:22.700] 女：我操你有。
[00:49:23.915] 男：我操你这家伙你怎么知道的？
[00:49:29.700] 男：我真服了。
[00:49:33.220] 男：我真服了。
[00:49:36.280] 男：那我那我了解了啊。
[00:49:44.960] 男：咋那么了解？
[00:49:48.720] 女：我还看过教程视频哦。
[00:49:51.400] 男：嗯，很慢。
[00:49:53.080] 男：好。
[00:49:55.500] 男：感觉应该挺难的，挺累的吧。
[00:49:59.120] 女：我大概知道怎么动了。
[00:50:01.897] 男：哎呀，你他娘。
[00:50:05.420] 男：哎呀。
[00:50:07.060] 男：哦，我我夸夸你呢。
[00:50:10.140] 女：呃，对我没变红吧。
[00:50:12.053] 男：看一下什么。
[00:50:13.940] 女：稍等，我们变红看一下。
[00:50:17.220] 男：我也看不到我自己呀。
[00:50:20.600] 男：但是耳朵是耳朵是挺热的。
[00:50:24.280] 女：那肯定那那肯定很透了。
[00:50:28.000] 男：哎呦，操你这家伙，你的桌子是不是。
[00:50:33.306] 女：直上直下的？
[00:50:35.201] 女：是。
[00:50:36.020] 女：而是而是随着腰跟他。
[00:50:40.220] 女：And. 
[00:50:42.860] 男：哎呀。
[00:50:47.840] 男：怎么能这样说呢？
[00:50:51.900] 女：不是看的可多了吗？
[00:50:53.660] 女：是不是嘛？
[00:50:55.360] 男：就是因为看的可多了，我才害羞啊。
[00:50:59.920] 女：那我那我不看那些，难怪我没单子。
[00:51:04.460] 男：你说的时候我有画面呀。
[00:51:08.700] 女：哎呀。
[00:51:11.440] 男：那不就完蛋了吗？
[00:51:14.060] 女：厉害啊。
[00:51:16.540] 女：哎呀哎呀。
[00:51:18.220] 男：哎呀哎呀，抱抱你，抱抱。
[00:51:20.700] 女：哎，那种那种那种那种露一半的内衣，然后再配一个水手服上衣，然后你。
[00:51:27.060] 女：你不就想揭开后再聊上去啊。
[00:51:30.092] 男：我操呀，我老想撩上去了。
[00:51:35.760] 男：那肯定会想呀。
[00:51:42.720] 男：宝宝。
[00:51:45.380] 女：嗯，想和你做。
[00:51:47.800] 男：好。
[00:51:51.100] 女：而且传教士也很适合。
[00:51:53.360] 男：材料是真的挺好的。
[00:52:00.320] 女：哎，我真的很好奇，如果在里面一直说动也不动那个它会不会滑下去啊？
[00:52:06.960] 男：呃，这个得问问子豪。
[00:52:10.680] 女：我操，子航不是不做了吗？
[00:52:12.855] 男：但是子航好像在套套方面挺有经验的，我不知道为啥。
[00:52:21.580] 女：哎，到达了啊。
[00:52:25.420] 女：你就请教他了。
[00:52:26.892] 男：对我就问问他吧，回头。
[00:52:30.460] 女：你知道吗？
[00:52:31.456] 女：我觉得亲嘴的啊。
[00:52:33.380] 女：如果如果想亲嘴唇，然后就是亲上下。
[00:52:37.440] 女：就是这边身体轻轻的横着要稍微吸一下，然后你再在那个时候稍微抖一下嘴唇，然后就是让那个嘴巴张开了一点，流不进去。
[00:52:48.820] 男：哎呀。
[00:52:50.440] 男：感觉很好呀。
[00:52:54.620] 女：反正反正我绝对绝对会会也会想把舌头伸出来的嗯。
[00:53:01.840] 男：那下次我试试。
[00:53:05.240] 女：记得住吗？
[00:53:06.344] 女：你。
[00:53:06.920] 男：我要鉴定一下吻技。
[00:53:11.320] 男：然后写在备忘录里面。
[00:53:14.600] 女：呃，备忘录里还有这里的废除，这一下子。
[00:53:17.596] 男：我操什么东西？
[00:53:21.760] 女：哎，你知道吗？
[00:53:22.865] 女：你真的应该帮我找一下王记录的。
[00:53:26.100] 女：因为我的想法里面少了大量灰，我的沸腾。
[00:53:34.620] 男：我帮你找。
[00:53:39.080] 男：我应该怎么帮你找呢？
[00:53:43.280] 男：那个东西现在唯一能依靠的就是你的爱好的备份。
[00:53:51.780] 男：然后我学校里面。
[00:53:55.940] 男：学校里面有一部不用的手iphone手机。
[00:54:01.660] 男：等回头我。
[00:54:04.940] 男：你把它拿出来。
[00:54:09.440] 男：我给你恢复一下备份，试试看能不能找回来。
[00:54:18.720] 女：嗯，那个就是。
[00:54:20.860] 男：你怎么摸摸？
[00:54:23.140] 女：我讨厌你。
[00:54:24.820] 男：对不起。
[00:54:27.400] 女：到阴凉下大雨。
[00:54:29.287] 男：爸爸会在吗？
[00:54:32.760] 女：我要有钱，我让他直接去找你的，我操。
[00:54:35.887] 女：对呀，二年的话我就不到了。
[00:54:38.181] 女：对。
[00:54:38.389] 男：那你要有钱，你就可以给我买机票，让我去找你了。
[00:54:42.920] 女：哎呀，你说的对。
[00:54:44.760] 男：对吧？
[00:54:46.080] 男：那只要有钱，问题就没有问题了。
[00:54:55.020] 男：问题就是没问题。
[00:55:01.040] 女：我就想不开，我这个游戏我操好孤独啊，你们凭。
[00:55:05.963] 男：什么什么？
[00:55:08.200] 女：我也想有个漂亮妹妹给我揉胸，好嫉妒。
[00:55:11.372] 女：你们凭什么怎么了？
[00:55:12.958] 男：我给你揉胸你就不满意吗？
[00:55:15.560] 女：你不想揉别人的。
[00:55:18.060] 男：好啊。
[00:55:23.400] 女：你讨厌陈英文，你能不能变女的？
[00:55:26.260] 男：我也想变女的呀，我变女的，我天天和你住一起。
[00:55:36.400] 女：你要是个女的，我我估计真的很乐意给你扣槽。
[00:55:43.840] 男：哎。
[00:55:46.820] 男：你这家伙。
[00:55:49.880] 女：不难了。
[00:55:56.920] 男：没怎么。
[00:56:00.080] 女：那个朋友一样。
[00:56:02.792] 男：嗯，爸爸嘛。
[00:56:07.560] 女：我睡不着。
[00:56:09.800] 男：嗯，你现在不还在外面吗？
[00:56:13.380] 男：那怎么睡回去。
[00:56:14.986] 女：的人生都走了。
[00:56:16.592] 男：包包里的哪一个回去可以戴耳机？
[00:56:20.820] 男：我得穴道穴道。
[00:56:24.980] 男：听我说的，我。
[00:56:26.365] 女：什么时候能去拿我的洞洞鞋，好像应该是前两天到的吧。
[00:56:32.920] 女：没看见，好几天前都到中午了，我真的不想每天穿的运动鞋了，烦死了。
[00:56:39.136] 男：一脱下来脚就很臭。
[00:56:40.912] 男：明天起床。
[00:56:42.140] 男：嗯，有空那边拐一趟呗。
[00:56:46.860] 女：对吧？
[00:56:47.265] 女：反正我就不好说，明天不要见。
[00:56:49.840] 男：什么？
[00:56:51.340] 女：没有跟大老师说。
[00:56:52.772] 男：明天不要见了，不见不见。
[00:56:55.640] 女：那那这个行吗？
[00:56:57.440] 男：那当然对面对面。
[00:56:58.927] 女：怎么不是对面打不走？
[00:57:01.040] 男：靠你见面，哎呦，我操，你要是个男的，你俩见面不耽误，我打起来了。
[00:57:08.880] 女：怎么不要是个男。
[00:57:10.580] 男：我说，你要是个男的，明天你俩再见面。
[00:57:14.340] 男：你俩不得打起来呀。
[00:57:16.900] 女：那男的那咱俩就搞男同了，这不对吧？
[00:57:21.500] 男：嗯，要这个男的当当天晚上就他妈打起来了。
[00:57:29.180] 女：不一定，男童可能直接上床了。
[00:57:33.480] 男：男朋友得注意好卫生呀。
[00:57:39.780] 男：身体嗯。
[00:57:43.560] 男：你说啥嗯。
[00:57:45.920] 女：没事。
[00:57:47.080] 男：我没听清。
[00:57:49.480] 女：当你可以使用小玩具。
[00:57:52.080] 男：嗯，好。
[00:57:55.800] 男：我得学。
[00:57:57.980] 男：学一下怎么用。
[00:58:02.100] 男：小玩具。
[00:58:04.860] 女：嘿嘿嘿嘿，嘿嘿嘿。
[00:58:07.200] 女：嗯嗯。
[00:58:12.160] 男：你也好。
[00:58:16.300] 女：很色呀，就是。
[00:58:18.766] 男：感觉也会很色呀。
[00:58:25.140] 女：那你们困了，我想想能能能说什么呀，打那个意见。
[00:58:29.540] 男：嗯，哼。
[00:58:33.820] 女：我操我脸正好红。
[00:58:36.100] 男：这时候。
[00:58:38.660] 男：这样的。
[00:58:42.160] 男：你好甜。
[00:58:48.060] 女：我操黄渤强强。
[00:58:54.100] 女：张张，嗯，怎么了？
[00:58:56.155] 男：你是。
[00:58:58.440] 女：嗯，对我挺好。
[00:59:00.097] 女：嗯。
[00:59:00.428] 男：你的脸正好吗？
[00:59:02.417] 男：嗯，也特别特别好听呢。
[00:59:07.280] 女：可是我嘴巴好干哦。
[00:59:09.560] 男：喝点水。
[00:59:14.340] 男：喝点水虽然不会变干，虽然不会。
[00:59:18.860] 男：变得不干，但至少不会渴。
[00:59:26.660] 男：多喝水总是好的。
[00:59:34.600] 男：清明节。
[00:59:40.960] 男：听清。
[00:59:43.020] 男：行。
[00:59:45.300] 女：我感觉遇到个喜欢我的男人都想做做爱。
[00:59:49.880] 男：嗯。
[00:59:52.680] 男：只能说。
[00:59:55.700] 男：而平均数。
[00:59:58.180] 男：大家大部分。
[01:00:00.019] 男：都这样吧。
[01:00:04.699] 女：但我虽然我很少影响一些不情愿结束的想法。
[01:00:08.919] 女：但是我们现在这么急吧。
[01:00:11.099] 男：对呀，你你俩，我靠，你俩说真的。
[01:00:14.919] 男：从他向你告白。
[01:00:19.259] 男：才过几天呀。
[01:00:28.299] 男：什么？
[01:00:30.279] 女：是不是？
[01:00:32.079] 男：听不见。
[01:00:33.899] 女：你们听不见了。
[01:00:36.059] 男：耳机不见了。
[01:00:38.119] 女：部分的战分数。
[01:00:40.899] 女：嗯嗯。
[01:00:42.239] 女：我刚就给他给他再找。
[01:00:45.239] 男：怕我睡着。
[01:00:49.079] 男：抱抱。
[01:00:51.859] 男：睡着之前，我得把录音给给给给停掉。
[01:00:57.079] 女：我之前因为没有录听录音，录了一段大概一小时的音。
[01:01:05.499] 男：那其实听不听都无所谓了，抱抱吧。
[01:01:09.679] 女：嗯，我老公内侧不行了。
[01:01:12.999] 男：闹钟。
[01:01:14.939] 女：浪费内存。
[01:01:17.299] 男：No吗？
[01:01:19.819] 女：浪费内存。
[01:01:21.592] 男：了哦。
[01:01:22.619] 男：宝宝。
[01:01:24.079] 女：嗯。
[01:01:26.439] 男：胃也不舒服，知道。
[01:01:31.379] 女：我是可以。
[01:01:33.619] 男：喜欢哎呀，会喜欢你呢。
[01:01:38.959] 男：我想你。
[01:01:42.879] 男：好的。
[01:01:44.959] 男：你为什么？
[01:01:47.899] 男：好想你呀。
[01:01:53.779] 女：我不不发奶吗？
[01:01:55.379] 男：为什么不要嗯？
[01:01:57.599] 女：为我不合理，不做爱。
[01:02:00.019] 男：嗯，哼哼。
[01:02:02.799] 男：做爱做爱还是太重了呀。
[01:02:10.679] 男：对吧？
[01:02:17.799] 男：一时半会也是做不了的呢。
[01:02:26.679] 男：宝宝呢？
[01:02:27.759] 男：宝宝呢？
[01:02:33.319] 男：抱抱呢？
[01:02:34.349] 男：抱抱呢？
[01:02:36.439] 男：宝宝裤子，宝宝呢子。
[01:02:43.439] 男：宝宝，你怎么？
[01:02:44.969] 男：宝宝，你怎么？
[01:02:47.859] 男：你说去。
[01:02:49.559] 男：你坐你坐。
[01:02:54.299] 男：抱抱你吃呢抱抱你吃呢，哎呀哎呀你坐你坐。
[01:03:01.639] 男：你在吗？
[01:03:03.799] 男：你在你在你在吗？
[01:03:10.059] 男：嗯，嗯嗯。
[01:03:12.439] 女：嗯，抱抱抱抱。
[01:03:14.523] 男：抱抱抱抱抱抱抱抱。
[01:03:18.159] 男：嗯嗯，宝宝来着宝宝来着。
[01:03:21.759] 男：宝宝女装。
[01:03:23.439] 男：嗯，可爱的抱抱熊。
[01:03:27.039] 女：不想太快。
[01:03:28.699] 男：头好疼。
[01:03:30.939] 女：拜拜拜拜。
[01:03:32.131] 男：嗯，宝宝宝宝宝宝。
[01:03:34.919] 女：让你不舒服好不好？
[01:03:37.052] 男：好呀，让你的舒服。
[01:03:42.079] 男：宝宝的转。
[01:03:43.979] 女：我的小哥叫刘妹妹，在我的怀里，因为英勇摸他，然后在那发抖。
[01:03:50.237] 男：哎呀哎呀。
[01:03:51.719] 男：哎呀。
[01:03:55.139] 男：爸爸爸爸确实很。
[01:03:59.239] 男：享受呀。
[01:04:01.259] 女：你不会这样吗？
[01:04:04.639] 男：嗯嗯。
[01:04:05.959] 男：倒也不至于发抖吧。
[01:04:10.179] 男：宝宝不会很夸张。
[01:04:17.679] 女：我的身体调动起来的话，应该就会那么夸张嗯。
[01:04:37.459] 男：能。
[01:05:05.359] 女：不懂。
[01:05:06.699] 男：爸爸。
[01:05:08.559] 女：嗯，我想你先去看你试一下。
[01:05:11.539] 男：啊，你说啥？
[01:05:14.519] 女：那我去哪儿去听我怕你。
[01:05:17.307] 男：睡着了。
[01:05:18.143] 男：嗯，好，拜拜。
[01:05:19.499] 男：你把回去躺在床上好不好呀？
[01:05:23.979] 男：然后。
[01:05:25.599] 男：我可以和你的纪念扯东扯西。
[01:05:31.119] 女：你肯定会睡着。
[01:05:33.319] 男：哎呀，我先扯一会儿。
[01:05:36.579] 男：把你都扯坏了，我再说。
[01:05:42.179] 男：没事，你去我尽量不睡。
[01:05:48.319] 男：抱抱呢抱抱抱抱抱抱抱抱你这里。
[01:05:53.839] 男：宝宝，我不睡啊。
[01:05:58.419] 男：哎呀，操。
[01:06:28.979] 男：嗯。
[01:06:30.539] 男：爱你嗯。
[01:09:12.499] 男：嗯。
[01:19:55.999] 男：嗯。
[01:19:58.739] 男：嗯嗯。
[01:23:11.679] 男：嗯嗯。
[01:23:14.959] 男：嗯。
[01:23:21.659] 男：嗯。
[01:23:25.779] 男：嗯。
[01:27:05.039] 男：嗯，嗯嗯。
[01:27:08.659] 男：嗯。
[01:27:11.619] 男：嗯。
[01:27:20.599] 男：嗯。
[01:27:27.939] 男：嗯。
[01:28:00.899] 男：嗯。
[01:29:05.639] 男：嗯，年轻。
[01:29:08.419] 男：今天你真喜欢你。
[01:29:12.059] 男：亲亲呢，特别特别喜欢你呢。
[01:29:16.459] 男：特别特别喜欢你。
[01:29:21.759] 男：哎呀哎呀。
[01:29:23.979] 男：哎呀，肉肉的。
[01:29:27.359] 男：柔柔的风味。
[01:29:31.279] 男：男士包包。
[01:29:35.839] 男：孩子，包包吗？
[01:29:46.679] 男：你坐你坐亲亲。
[01:29:50.019] 男：柔柔微呢。
[01:29:53.619] 男：喝点热水呢。
[01:29:58.639] 男：嗯。
[01:30:01.359] 男：哎呀，宝宝呢？
[01:30:04.819] 男：可能喝酒。
[01:30:10.779] 男：好呀，我不在说话吗？
[01:30:15.039] 男：我在说。
[01:30:19.879] 男：我。
[01:30:22.439] 男：给我。
[01:30:25.239] 男：嗯。
[01:30:26.319] 男：胃粘膜。
[01:30:33.919] 男：嗯，快三点了吧。
[01:30:38.059] 男：明天得起来上班。
[01:30:45.379] 男：宝宝你。
[01:30:47.799] 男：宝宝女装。
[01:30:50.819] 男：宝宝。
[01:30:53.299] 男：抱抱。
[01:30:56.299] 男：宝宝的。
[01:30:59.499] 男：爸爸。
[01:31:02.599] 男：想和你。
[01:31:05.939] 男：喜欢你的。
[01:31:17.619] 男：嗯。
[01:31:32.299] 男：嗯嗯。
[01:32:04.219] 男：嗯。
[01:32:06.719] 男：嗯，不不。
[01:32:09.359] 男：不不不不不不不不。
[01:32:12.639] 男：宝宝来吃。
[01:32:13.859] 男：宝宝的吃。
[01:32:16.019] 男：宝宝亲亲就。
[01:32:20.599] 男：你的你的就就。
[01:32:23.179] 男：浙江的是浙江的字。
[01:32:26.379] 男：妹子妹子。
[01:32:27.599] 男：谁和你呢？
[01:32:33.059] 男：嗯，你那个那个。
[01:32:35.959] 男：嗯，没有一个。
[01:32:40.339] 男：我都没做。
[01:32:43.419] 男：你给我听。
[01:32:47.379] 男：你听你听。
[01:32:51.279] 男：求求你怎么。
[01:32:57.139] 男：你看。
[01:33:00.339] 男：你说。
[01:33:03.779] 男：嗯。
[01:33:07.219] 男：嗯。
[01:33:52.939] 男：嗯嗯。
[02:22:38.279] 角色1：嗯。
[03:36:44.179] 角色1：对。
[03:39:25.639] 角色1：嗯嗯。
[04:35:38.219] 角色1：嗯。
[04:35:41.999] 角色1：嗯。
