[00:00:01.020] 男：键盘给我吧。
[00:39:35.460] 男：我可能心里就是确实是会有点接受不了。
[00:39:40.500] 男：你想。
[00:39:43.360] 男：嗯，薪水啊我。
[00:40:04.200] 男：所以我。
[00:40:05.980] 男：哦，对。
[00:40:07.720] 男：想知道就刚刚。
[00:40:10.100] 男：是什么呢？
[00:41:29.380] 女：嗯。
[00:42:08.200] 男：先不要做。
[00:42:31.280] 女：我想的是。
[00:42:34.720] 女：我真的很喜欢。
[00:42:37.980] 女：之前。
[00:42:38.437] 女：之前的时间里，和你相处的重。
[00:42:43.140] 女：真的很希望这种状态可以。
[00:42:45.580] 女：可以一直持续下。
[00:42:52.340] 女：但反正我会很害怕，就是。
[00:42:55.860] 女：当这些东西。
[00:42:57.700] 女：挑明了，或者说或者说。
[00:43:01.780] 女：比如说建立关系了，然后又又分开了，他们还能不能像以前一样？
[00:43:33.500] 女：感觉从很自私的角度去考虑的话。
[00:43:38.920] 女：在很多方面需要你的帮。
[00:43:42.780] 女：然后还有段老师。
[00:43:45.320] 女：当老师愿意去跟我跟我讲一些事情，想想这些事情，我也很感。
[00:43:52.720] 女：因为有你所见，有些在有些时候，在有些地方真的是一个社会化很低的人。
[00:44:05.360] 女：然后。
[00:44:08.600] 女：然后。
[00:44:13.480] 女：今天在生活里面的事情做得很糟糕。
[00:44:16.580] 女：导致好多东西都搞砸了。
[00:44:21.160] 女：然后然后就碰到你了。
[00:44:27.760] 女：嗯，没有想没有想到会这样啊。
[00:44:32.060] 男：我跟你说。
[00:44:35.300] 男：我跟你说一下。
[00:44:39.100] 男：就是就听你讲完，我刚刚。
[00:44:43.240] 男：也在想。
[00:44:45.940] 男：就是你说。
[00:44:47.940] 男：像你说的，你说有的东西挑明了，关系就回不去了。
[00:44:53.080] 男：我也会这样子想。
[00:44:55.620] 男：我我刚刚在想。
[00:44:57.400] 男：我知道。
[00:44:59.180] 男：嗯，我我了解到了你跟。
[00:45:02.500] 男：对的。
[00:45:07.560] 男：你说心里话。
[00:45:09.600] 男：不介意，肯定是假的，对吧嗯。
[00:45:13.560] 男：嗯，然后我尝试。
[00:45:16.440] 男：舒服。
[00:45:20.060] 男：啊，没事的。
[00:45:22.760] 男：可以的。
[00:45:25.200] 男：磨合嘛。
[00:45:27.200] 男：但是那真的是我想的吗？
[00:45:29.712] 男：这样真的对吧？
[00:45:31.440] 男：跟我的心理冲突吗？
[00:45:33.680] 男：然后我心里会产生一个念头。
[00:45:36.160] 男：我刚刚心里出现了这样一。
[00:45:39.640] 男：我能不能。
[00:45:41.900] 男：能不能。
[00:45:43.640] 男：对。
[00:45:47.060] 男：就是我们这样的关系维持到大学结束了。
[00:45:51.640] 男：至少在学校。
[00:45:53.400] 男：剩的这一年多的时间陪在你旁边了，我刚刚心里会有这个念头，但是。
[00:46:01.080] 男：跟我的那个。
[00:46:03.720] 男：跟我。
[00:46:05.180] 男：相对来说，那个传统传统的观念。
[00:46:09.000] 男：又有点。
[00:46:10.640] 男：好。
[00:46:11.720] 男：就是我觉得如果不能。
[00:46:14.480] 男：走到最后，然后可能现在做的一些亲密的事情，像是抱抱和牵手。
[00:46:22.840] 女：这些。
[00:46:23.415] 男：然后我看我我就会有一种。
[00:46:26.780] 男：那我是不是就是借着这个由头说服自己，然后心安理得的占占你的便宜呢？
[00:46:32.757] 女：我会这样想，没有呀。
[00:46:36.020] 男：我心里会这样想。
[00:46:37.980] 女：嗯，不是啊。
[00:46:44.340] 男：如果实在想不到的话，要不要今天我们都回去想想，然后回去稍微休息一会儿。
[00:46:51.760] 男：毕竟现在来说，明天的补考才是最重要的。
[00:46:56.520] 男：好吗？
[00:47:00.700] 男：然后我们这些是。
[00:47:04.100] 男：不一定要今晚非要得出一个结论。
[00:47:13.220] 男：还是很难吗？
[00:47:21.080] 男：因为。
[00:47:23.380] 男：我我心里。
[00:47:26.080] 男：我心里是这样想的。
[00:47:30.240] 男：我希望我喜欢的人，他能变得更好。
[00:47:33.740] 男：而不是为了。
[00:47:38.080] 男：就是我希望的情况是。
[00:47:40.520] 男：因为我的存在。
[00:47:43.360] 男：我能帮助你。
[00:47:46.020] 男：就是对你的生活。
[00:47:49.040] 男：就可能是我我心里面。
[00:47:51.920] 男：跟我的性格有关，我可能需要我我会产生那种。
[00:47:56.360] 男：被需要感就是如果我能感觉到对方对我的被需要感的话。
[00:48:02.180] 男：我心理状态会得到很大的满足。
[00:48:06.000] 男：然后我会想着。
[00:48:09.880] 男：我就会想。
[00:48:14.520] 男：在这段这一段关系里。
[00:48:17.500] 男：哪怕是我。
[00:48:19.900] 男：呃，虽然我之前啊之前就是因为这样变成舔狗的。
[00:48:24.460] 男：然后但是但是我现在心里。
[00:48:28.680] 男：依然还是会有这种想法的存在。
[00:48:31.751] 男：我希望。
[00:48:33.480] 男：就是对你来说，我希望我对你的帮助和陪伴，我希望你能变得更好，哪怕可能跟你走到最后的。
[00:48:43.200] 男：我会这样想。
[00:48:44.628] 女：现在的人就有了呀嗯。
[00:48:47.360] 女：看这里面就有。
[00:48:49.200] 男：但是如果如果现在我。
[00:48:53.220] 男：我就抽身就走的话，我又。
[00:48:56.440] 男：我觉得会对你造成很大的伤害。
[00:49:01.360] 女：这是你的自主意志。
[00:49:08.380] 女：如果如果因为担心对我造成伤害，然后要强迫自己留下来的话。
[00:49:14.560] 女：我我不懂没有。
[00:49:34.200] 女：你到老师这一局真的很开心。
[00:49:44.240] 男：会不会你说不想。
[00:49:46.220] 男：不想结婚，就是因为想跟他无情。
[00:49:51.300] 女：我是不想结婚。
[00:49:54.320] 女：是我很早很早就已经确定了。
[00:49:57.480] 女：并且在我的。
[00:50:00.300] 女：在我的思考之中逐渐稳固的。
[00:50:04.400] 女：和他没有关。
[00:50:06.300] 女：我也绝对不会和他结婚嗯。
[00:50:09.300] 男：问了一个多余的问题。
[00:50:14.620] 女：他也并不是我生活的唯一嗯。
[00:50:18.100] 女：甚至如果他违反了什么特别原则性的。
[00:50:22.220] 女：问题我也会马上回答断掉的。
[00:50:25.080] 男：在你心里原则性的问题。
[00:50:27.480] 女：我不知道。
[00:50:30.420] 女：但是但是那一刻来了的话，我会感觉到的。
[00:50:35.080] 女：之前就发生发生过一点事情。
[00:50:43.340] 男：要不我们。
[00:50:44.802] 女：先回去。
[00:50:46.040] 男：拿出来。
[00:50:51.640] 男：想不明白的。
[00:50:54.120] 女：我现在不知道应该想什么呀。
[00:50:58.280] 男：你的做法。
[00:51:28.760] 女：还有什么问题是想问的吗？
[00:51:30.920] 男：我。
[00:51:36.360] 男：是别的问题。
[00:51:38.300] 男：哦，这是原则性的。
[00:51:41.120] 男：很多人。
[00:51:44.100] 男：就可能可能对我来。
[00:51:50.440] 男：就是我不，我的原则性问题就是。
[00:51:55.660] 男：对象。
[00:51:57.420] 男：呃，交往对象跟其他的。
[00:52:02.620] 男：就是跟我在一起的时候，同时又跟其他人做这样的。
[00:52:07.940] 男：我我对这个真的是很。
[00:52:11.440] 男：但是。
[00:52:16.240] 男：哎呀。
[00:52:22.620] 男：不过。
[00:52:23.720] 男：就是那种。
[00:52:26.920] 男：如果如果我们给给够你。
[00:52:30.360] 男：哪怕你你跟他，哪怕。
[00:52:33.900] 男：哪怕可能以后碰到某些事情，我真的解决不了。
[00:52:38.320] 男：你去，你先你先。
[00:52:40.740] 男：跟他队友。
[00:52:42.300] 男：倾诉啊，或者说是。
[00:52:44.720] 男：需要抱抱来安慰的时候，我觉得也。
[00:53:19.080] 女：Hello. 
[00:53:23.340] 女：段老师。
[00:53:26.900] 女：段老师。
[00:53:31.140] 女：段老师。
[00:53:45.520] 女：段老师。
[00:53:49.120] 女：的老师。
[00:53:55.340] 女：会比较多比较多。
[00:54:20.700] 男：哎，抱抱。
[00:55:07.820] 女：大老师。
[00:55:20.520] 男：那还不好吗？
[00:55:24.520] 男：不知道这个是。
[00:55:29.480] 男：湖北门。
[00:55:31.500] 男：然后我们两个一起。
[00:57:28.440] 女：你的马桶。
[00:57:29.420] 女：嗯，像以前那个也是我跟湖南老。
[01:01:16.659] 男：广东花村是在一。
[01:04:08.859] 男：我老哥。
[01:04:28.139] 男：你去哪儿了？
[01:20:23.339] 男：欢迎光临。
[01:21:05.659] 男：好像没找到。
[01:21:08.739] 男：在那里。
[01:23:52.179] 男：哦，OK. 
[01:37:11.319] 男：会不会我每个人的现状。
[01:37:49.919] 男：然后一个。
[01:37:53.319] 男：有一个大哥哥来去看看。
[01:38:08.539] 男：没了吧。
[01:38:57.739] 男：我我第一位我第一位就是。
[01:39:02.299] 男：跟他。
[01:39:32.599] 男：没影响到你们的。
[01:39:44.359] 男：我说。
[01:39:45.679] 男：我开始说没影响到你吧，但我觉得这个电话打过来就。
[01:40:03.419] 男：好吧。
[01:40:05.259] 男：对面的。
[01:40:15.199] 男：我们两个。
[01:40:22.299] 男：他跟我说。
[01:40:24.439] 男：他跟我说，我是从头遇到学校那个傻逼的经过。
[01:40:30.039] 男：然后跟我说第二个傻逼。
[01:40:38.619] 男：他本来今天把我叫。
[01:40:49.879] 男：对，他就是他。
[01:40:52.739] 男：就是就是那个渣男二号，他叫。
[01:40:59.959] 男：在对他干了那些事情之后。
[01:41:03.679] 男：我去找他。
[01:41:05.399] 男：就他前女友心里心里。
[01:41:08.219] 男：然后他要去找他前女友。
[01:41:10.359] 男：然后那个时候是去年过年。
[01:41:13.739] 男：他把他过年的时候一个人扔在家里，然后找了他自己的大。
[01:41:20.619] 男：那个男那个舍友真。
[01:41:22.779] 男：然后叫他。
[01:41:24.779] 男：我真的很感谢。
[01:41:26.699] 男：他一个人在那边，然后。
[01:41:37.259] 男：你踩到了。
[01:41:38.739] 男：嗯，就是那样的感。
[01:41:43.219] 男：他说他跟他跟他跟现在都。
[01:41:46.639] 男：然后他们两个。
[01:41:49.879] 男：也很开放。
[01:41:51.439] 男：也不是说开放吧。
[01:41:53.139] 男：这个东西改变不了，我知道。
[01:41:55.479] 男：很感谢你在那个时候帮了他。
[01:41:58.259] 男：如果不是C他说他那个手。
[01:42:00.639] 男：在这个。
[01:42:03.079] 男：然后。
[01:42:05.239] 男：然后他跟飞现在。
[01:42:07.499] 男：他跟我说。
[01:42:09.699] 男：他说他现在。
[01:42:11.499] 男：我跟他的关系。
[01:42:13.299] 男：发展到哪一步，他都告诉。
[01:42:17.859] 男：就像他想给我报，然后。
[01:42:23.639] 男：然后他然后就。
[01:42:25.619] 男：然后他说他也跟我谈着。
[01:42:30.739] 男：然后甚至说想跟他。
[01:42:35.179] 男：然后我们两个。
[01:42:40.379] 男：就是因为他不懂。
[01:42:49.159] 男：这有什么感？
[01:42:53.419] 男：说了我。
[01:42:56.299] 男：现在是怎么想的？
[01:42:57.605] 男：我对未来是。
[01:43:03.119] 男：总之就是。
[01:43:05.559] 男：我们两个。
[01:43:07.739] 男：很明确。
[01:43:09.099] 男：现在就是。
[01:43:11.279] 男：没有办法被。
[01:43:13.839] 男：他不能否认。
[01:43:17.619] 男：他说，哪怕说他现在。
[01:43:25.259] 男：但是他就。
[01:43:26.539] 男：他不能骗我。
[01:43:28.439] 男：他说他他他对比。
[01:43:30.419] 男：因为现在还。
[01:43:34.899] 男：我们在聊到这里的时候，我说我的底线原。
[01:43:40.919] 男：他在你的生命中。
[01:43:47.699] 男：然后他说。
[01:43:50.179] 男：然后我说。
[01:43:51.939] 男：有没有一种。
[01:43:55.879] 男：我能够。
[01:44:03.099] 男：现在受到。
[01:44:08.999] 男：我说能不能有没有？
[01:44:12.639] 男：在未来。
[01:44:13.959] 男：我能给他补过来。
[01:44:20.559] 男：让第一代看。
[01:44:25.439] 男：你的底线和原则。
[01:44:30.679] 男：有最低的感觉，然后。
[01:44:44.899] 男：我这个是我。
[01:44:45.939] 男：图片会员。
[01:44:50.479] 男：你你发生了什么？
[01:44:54.199] 男：店面的。
[01:44:57.859] 男：然后。
[01:45:00.559] 男：我说这个是我。
[01:45:02.719] 男：我这个人的。
[01:45:15.179] 男：情感。
[01:45:17.359] 男：然后他说他需要一个。
[01:45:26.039] 男：大概就是。
[01:45:28.499] 男：这么一个事情，然后。
[01:45:31.079] 男：他说他要。
[01:45:37.799] 男：但是我不放。
[01:45:42.699] 男：刚开始我远远的。
[01:45:44.899] 男：我估计他也发。
[01:45:47.099] 男：然后。
[01:45:48.559] 男：总之就是我一个狗。
[01:45:50.839] 男：没戴眼镜，晚上。
[01:45:53.439] 男：我找不到他们。
[01:46:05.379] 男：南京公园里好美好看。
[01:46:10.239] 男：然后他说他想一个人待一会儿，我说好。
[01:46:14.619] 男：啊，我们跟着。
[01:46:17.199] 男：我现在找不到他，我跟他说。
[01:46:21.439] 男：你在这个公园里。
[01:46:56.199] 男：明明两个人。
[01:47:00.779] 男：去哪？
[01:47:01.959] 男：为什么这种。
[01:47:09.039] 男：那我要怎么办？
[01:47:10.254] 男：我操。
[01:47:13.499] 男：他要怎么办？
[01:47:15.399] 男：窗户纸捅破的。
[01:47:17.199] 男：怎么可能还跟原来一样？
[01:47:20.659] 男：我怎么可能一边跟他。
[01:47:22.999] 男：然后跟我的贪官财产。
[01:47:27.239] 男：去接受他的好。
[01:47:28.719] 男：我说我。
[01:47:30.859] 男：我心里的想法有。
[01:47:33.079] 男：我们可不可以我陪他们玩这个。
[01:47:35.539] 男：大学是他跟VVY哈尔滨，我跟他大学。
[01:47:45.699] 男：但是我心里是这样想，我也告诉他。
[01:47:48.759] 男：但是我心里真的会觉得我像是在等。
[01:47:52.439] 男：他说让我不要这样讲，可是我心里真的没有办法改变。
[01:47:56.899] 男：这不能。
[01:47:57.879] 男：这不是平安理得。
[01:48:00.579] 男：我对他的。
[01:48:48.859] 男：我不想给他压力。
[01:48:53.299] 男：我告诉他。
[01:48:54.359] 男：喜欢他是我的。
[01:48:57.099] 男：我想。
[01:48:58.559] 男：我没有说我能厉害到。
[01:49:02.739] 男：我只想把他等在。
[01:49:05.939] 男：对于这种事情说出口，我们可能会没有压力。
[01:49:10.759] 女：怎么可能的？
[01:49:15.899] 男：明明两个。
[01:51:15.859] 男：那我做不到。
[01:51:46.239] 男：这个是这个样子。
[01:52:18.039] 男：就感觉他也很难做味。
[01:52:20.219] 男：我不知道他刚刚在想什么。
[01:52:22.492] 男：找。
[01:52:23.379] 男：他也不想让我找他，甚至跟我约。
[01:52:26.159] 男：九点半的时候这个。
[01:52:28.239] 男：特别的地方见个面。
[01:52:31.599] 男：最开始他走。
[01:52:33.179] 男：我们两个面对面的时候在讲这个。
[01:52:36.639] 男：你明天要补。
[01:52:39.439] 男：能不能答应我，我就这一个政策，我说。
[01:52:46.679] 男：我。
[01:52:47.599] 男：因为这个考试对他很熟啊，没过的话大翻。
[01:52:51.139] 男：看大树的时候要。
[01:52:54.219] 男：会原地半个月。
[01:52:56.059] 男：九月份才能拿到毕业证，会对你很重要。
[01:52:59.819] 男：我说能不能我们不要今天把这个事。
[01:53:07.139] 男：就先把你考试的事情解决了，毕竟我们已经我已经在你。
[01:53:16.339] 男：我说不知道会不会说。
[01:53:19.059] 男：然后他就。
[01:53:21.839] 男：我最开始以为他只是在我。
[01:53:25.699] 男：咱就去待一会儿，然后他越走越远。
[01:53:29.079] 男：我就把东西收拾好，我找不到他，然后我在整个公园里跑，我找到他了。
[01:53:34.679] 男：能不能跟我讲讲讲。
[01:53:37.219] 男：说话就。
[01:53:38.379] 男：他最开始不愿意听我说好，然后最后他说好。
[01:53:47.879] 男：我们把它做好。
[01:53:52.919] 男：然后你带上走。
[01:53:54.679] 男：你不要。
[01:53:57.839] 男：你不要让我找不到你。
[01:54:00.979] 男：因为我很贪心。
[01:54:03.179] 男：这个好。
[01:54:07.899] 男：然后我就很远很远，差不多200米左右的距离跟着他。
[01:54:13.699] 男：他应该他发现了，我跟着他，然后最后他把我甩开，我说找不到。
[01:54:20.319] 男：我的是我只能喝酒。
[01:54:24.059] 女：我不得。
[01:54:40.579] 女：我不想成为他的负担。
[01:54:42.955] 女：为。
[01:55:07.839] 男：我觉得明天就要考试。
[01:55:11.579] 男：我看他自己了。
[01:55:12.809] 女：一个星期。
[01:55:13.629] 男：我说今天下午。
[01:55:15.259] 男：下午中午的时候。
[01:55:17.499] 男：所以我去找老师。
[01:55:22.159] 男：然后。
[01:55:27.479] 男：因为他。
[01:55:33.159] 男：然后我说下午带着他不会，晚上带着他不会。
[01:55:37.219] 男：用完整的状态去备考。
[01:55:45.639] 男：到时候下午两点的时候。
[01:55:48.439] 男：应该是停不下来，很烦躁。
[01:55:50.539] 男：然后还有那个想对我说的事情，我说好。
[01:55:55.639] 男：摇头跳舞？
[01:56:00.299] 男：八点多的时候没有聊完。
[01:56:02.899] 男：然后在八点的时候，他跟我已经把他的经历全部说完了。
[01:56:09.819] 男：第二个那个人，他妈的。
[01:56:14.559] 男：我看一下谁给我打。
[01:56:20.219] 男：我看一眼。
[01:56:24.219] 男：谁呀？
[01:56:26.519] 男：谁给我打视频？
[01:56:29.999] 男：我没收到。
[01:56:32.299] 男：不是，他他他这里没有交警门口。
[01:56:38.219] 男：走，我先挂一下，等我两分钟，马上。
[01:57:43.079] 女：为什么我们。
[01:57:44.779] 女：我在大一的时候就没见。
[01:57:47.639] 女：为什么这个事情会发生？
[01:58:00.759] 女：你都不懂。
[01:58:02.839] 女：为什么不用我孩子的呢？
[01:58:19.019] 女：呃。
[01:58:49.459] 女：嗯，真的。
[01:58:51.839] 女：看到我了。
[01:58:52.879] 男：我说刚刚。
[01:58:53.919] 女：背着你去买。
[01:59:03.599] 女：我最开始。
[01:59:05.839] 女：欺负我我的。
[01:59:07.179] 女：是真的不好意思打你我陪着你，到时候我觉得你。
[01:59:37.619] 女：为什么我不能再打一个？
[01:59:49.239] 女：你说不能不想跟你增加复杂的对。
[02:01:26.839] 男：真的很感谢。
[02:01:29.699] 男：嗯，我真的很感谢你。
[02:01:34.219] 男：很感谢，感谢自己。
[02:01:40.439] 男：我这几天你从从你告诉我那天。
[02:01:45.419] 男：我我睡觉前我看到我就想。
[02:01:48.839] 男：如果我是你的话，我那个都在错误。
[02:02:08.499] 男：嗯，对呀。
[02:02:12.659] 男：最后，不管你做出什么选择，我都很怕。
[02:02:23.899] 男：对不对？
[02:02:43.179] 男：是什么？
[02:02:44.999] 男：为什么我不能跟他一样能能有跟他一样的想法呢？
[02:03:03.039] 男：为什么这个事情？
[02:03:04.559] 男：这个时候奶奶为我着想，我明明都没有。
[02:03:08.799] 男：没有见到那么多的事情，明明你是才明明你才是。
[02:03:14.599] 男：不应该。
[02:03:40.839] 男：为什么没怎么了？
[02:03:53.139] 男：我两个不能谈。
[02:04:09.779] 男：我刚才好怕，我怕找不到你我怕因为你跟你发现我骗着你，然后生气，然后觉得我不相信。
[02:04:18.339] 男：我真的很。
[02:04:20.439] 男：我怕你不见了。
[02:04:23.739] 男：我怕我找不到你我不知道到底要怎么面对。
[02:04:35.159] 男：是不是为你做的苦恼啊？
[02:04:43.859] 女：我想我想我想等到毕业之后。
[02:04:49.759] 男：要是我有我的思想，能有C那一样的这块就好了。
[02:04:55.159] 男：我给我们这样子给孩子先给。
[02:05:02.039] 男：为什么我们。
[02:05:03.639] 男：外国的家庭都不看你那么严重了。
[02:05:22.619] 男：我看看另一个。
[02:05:24.459] 男：我那天想到另一个人我喝完之后另一个人就到。
[02:05:31.579] 男：你决定你做你自己就好。
[02:05:34.429] 男：然后。
[02:05:35.459] 男：就要陪你走完这这最后的一年。
[02:05:40.099] 男：只要看着你变得越来越好，我就满足了，我不不想再折腾他。
[02:05:46.999] 男：我心里真的。
[02:05:49.239] 男：不能不。
[02:05:53.839] 男：为什么我这么软弱？
[02:05:55.658] 男：为什么那时候没有早点遇到？
[02:05:58.387] 男：你为什么不能见？
[02:06:01.319] 女：你要。
[02:06:07.379] 男：我明明。
[02:06:09.019] 男：我妹妹。
[02:06:10.719] 男：我明明都被。
[02:06:12.719] 男：我爸爸妈妈保护的，刚刚没有看到这个什么的阴暗。
[02:06:17.999] 男：就是就就觉得你。
[02:06:21.099] 男：但是觉得你的但是却觉得你的想法很。
[02:06:26.359] 男：你告诉我之后，我都。
[02:06:30.119] 男：我都什么都做不了，那个事情发生的事情。
[02:06:41.139] 男：那不是你的错。
[02:06:43.179] 男：那不是你的错。
[02:06:46.459] 男：不是不是。
[02:06:48.579] 男：坏了他们。
[02:06:51.199] 男：那么欺骗你。
[02:06:55.739] 男：为什么？
[02:06:59.639] 男：你对我的吗？
[02:07:02.479] 男：我想要跟你在。
[02:07:05.299] 男：我有办法。
[02:07:13.699] 男：那我们要怎么办？
[02:07:17.659] 男：我觉得。
[02:07:19.779] 男：我以前觉得自己能把这些事情处理好的，但是我真的真的发现自己真的很幼稚。
[02:07:28.799] 男：为什么我没有想到他可以帮助你，保护你？
[02:07:33.859] 女：你不用看游戏是假的。
[02:07:36.519] 男：嗯。
[02:07:40.799] 女：你是河水保护。
[02:07:42.899] 男：有你，你比我简单很多。
[02:07:48.619] 男：如果我自己的话，我可能这辈子都没有跟男人有任何交流了。
[02:07:55.019] 男：那个畜生竟然录你的视频，拍你的照片。
[02:08:00.959] 男：这凭什么？
[02:08:16.999] 男：我是不是很重没有眼泪的。
[02:08:24.999] 男：我真的不想让我成为你的负担，我真的想让你变好。
[02:08:31.259] 男：我想要管你。
[02:08:33.819] 男：我真的想抱你我还担心你。
[02:08:36.483] 女：你还担心我没有。
[02:08:40.819] 男：不不是你的口。
[02:08:43.259] 男：然后我。
[02:08:49.219] 男：为什么不要走？
[02:08:52.659] 男：我真的不想你一个人面对这一次自黑。
[02:08:58.639] 男：这明明是我们两个，这就是我们三个人的课题，然后让你那么难受。
[02:09:09.839] 男：我真的很想跟你走下去，为什么我们就不能？
[02:09:15.139] 男：让更多的人呢。
[02:09:23.859] 男：对不起，我给你找到了，不好。
[02:09:28.579] 男：为了让你那么难堪的问题，让你那么难以回答的问题。
[02:09:36.799] 男：我真的真的。
[02:09:42.939] 男：为什么要让我们在大自然然的时候才运输M不能在大一大二的时候。
[02:09:56.039] 男：妈妈。
[02:10:05.399] 男：我明明觉得自己已经做好觉悟了的。
[02:10:25.439] 男：我要抱抱你，摧毁了你的负担。
[02:10:38.059] 男：我儿子我儿子不是做了的。
[02:10:43.139] 男：我要是家里，我要是爸爸妈妈的学历再高点。
[02:10:48.899] 男：他们的思想上更先进。
[02:10:51.451] 男：结束。
[02:10:52.239] 男：不延续我的往前走了。
[02:10:57.639] 男：和这个对比的话。
[02:11:00.779] 男：他凭什么啊他凭什么这样对你？
[02:11:06.599] 男：让让你听你这么多。
[02:11:13.119] 男：凭什么？
[02:11:15.659] 男：八戒。
[02:11:17.119] 男：我就看过去，然后一直骗你。
[02:11:33.319] 男：我是不是很不成熟？
[02:11:38.859] 男：我儿子。
[02:11:41.039] 男：我要是爸爸妈妈他们再厉害一点，要是我的文我的知识程度再高一点，我的能力像黄志龙一样那么强。
[02:11:52.359] 男：我就给能给你足够的安全感。
[02:12:04.839] 男：为什么？
[02:12:07.659] 男：怎么。
[02:12:11.279] 男：为什么你经历了那么多事情啊，都可以那么坚强，我真的好软弱。
[02:12:19.379] 男：就是听你讲完我我就不受控制了，再发抖了。
[02:12:26.619] 男：他明明。
[02:12:27.649] 女：很漂亮。
[02:12:30.039] 男：我不。
[02:12:32.399] 女：有一杯。
[02:12:34.239] 男：给我要陪着你。
[02:12:37.219] 男：为什么我们不能？
[02:12:42.859] 男：为什么我要当出生在那么传统的家庭？
[02:12:49.619] 男：对不起。
[02:12:53.699] 男：不是。
[02:12:56.819] 男：我觉得。
[02:12:58.939] 男：我喝我喝一点点没关系的，我觉得我可以把你送回学校的。
[02:13:14.359] 男：呃。
[02:13:17.199] 男：呃。
[02:13:22.539] 男：为什么跟你朋友要在。
[02:13:28.219] 男：我真的。
[02:13:29.999] 男：我明明自我认为我不是普通小市民，我非常鄙视小市民的庸俗。
[02:13:37.379] 男：云瑞。
[02:13:39.359] 男：我真的很想。
[02:13:42.139] 男：很想很想让自己能够帮到。
[02:13:46.879] 男：是不是？
[02:13:51.279] 男：要是我们在。
[02:13:53.679] 男：厉害一点，要是我能。
[02:13:56.379] 男：我能在体制内混好，我能不能帮你伸张这一切，能不能帮你？
[02:14:02.839] 男：能不能帮你把这些字。
[02:14:05.539] 男：坏人绳之以法。
[02:14:22.039] 男：我们。
[02:14:24.039] 女：我帮你很多东。
[02:14:27.099] 男：他一直在告诉我，明明陪你走完。
[02:14:30.679] 男：剩下这一年多就好了，不要给自己那么多负担。
[02:14:35.279] 男：但是我真的不能瞒着自己，我真的不能骗你我我。
[02:14:44.499] 男：的节奏。
[02:14:47.199] 男：我真的想跟你走到最后。
[02:14:51.659] 男：怎么办？
[02:14:53.899] 男：为什么这个事情要这么残酷？
[02:14:57.779] 男：坏人不能被解散。
[02:15:02.059] 男：我们不能一直走到最后。
[02:15:19.839] 男：你不要一个人承担好不好？
[02:15:23.199] 男：不要给自己那么多的压力。
[02:15:30.139] 男：我真的好幼稚。
[02:15:43.239] 女：因为很多办事能力都比我恋爱。
[02:15:47.459] 男：不要。
[02:15:52.319] 女：你看你帮我。
[02:15:53.933] 男：你不要那么坚强好不好？
[02:15:57.163] 男：明明你才是最委屈。
[02:15:59.747] 女：的那一刻。
[02:16:01.799] 女：可以吧可以。
[02:16:14.039] 女：他不是孙婷婷，再也不当你。
[02:16:18.259] 男：我要是早一点遇见你就好了。
[02:16:25.499] 男：对不起。
[02:16:28.099] 男：对不起。
[02:16:33.639] 男：对不起。
[02:16:37.039] 男：我。
[02:16:40.059] 男：我明明知道了，你给我走了你的嘴里。
[02:16:44.719] 男：我今天看到。
[02:16:47.459] 男：我为了头像视频，我还要把那些头像文案转给你，就忽略了你今天。
[02:16:54.639] 男：你的经历让你很复杂。
[02:16:58.159] 男：呃，我。
[02:16:59.359] 女：我直接说出来了。
[02:17:04.439] 女：而且我也是第一次能见到陈哥的表。
[02:17:07.799] 女：我感谢你们的是。
[02:17:14.679] 男：我不爱。
[02:17:17.039] 女：跟你说了，如果有不舒服的就是。
[02:17:21.579] 男：嗯。
[02:17:24.239] 男：我能做到嗯。
[02:17:26.839] 女：一定的。
[02:17:27.699] 女：应该很好看嗯。
[02:17:31.319] 男：你给我点亮，你比我厉害的多。
[02:17:35.359] 女：嗯，可以看看我朋友圈。
[02:17:38.739] 女：那你帮我沟通。
[02:17:40.215] 女：导游啊，去找朋友。
[02:17:42.579] 女：还叫我还叫我自己。
[02:17:46.339] 女：这些都是我自己做不到的事，肯定能带着我做了。
[02:17:50.879] 男：我没有那么厉害，我没有那么强。
[02:17:55.999] 男：我不能带你走出去。
[02:17:59.855] 女：不用。
[02:18:01.279] 女：你不要这样邀请。
[02:18:04.939] 女：你要是这样咬你自己，我会难过的。
[02:18:08.139] 男：嗯，我不要让你。
[02:18:10.059] 男：不要想着什么。
[02:18:12.043] 女：看你能帮我走出来啊。
[02:18:17.519] 女：不让你说过，你会。
[02:18:20.619] 男：不要抽烟好不好？
[02:18:23.679] 男：不要。
[02:18:28.099] 男：不要抽烟。
[02:18:29.264] 男：不要跟。
[02:18:31.239] 男：我跟你比。
[02:18:32.959] 男：周围的人听他们的话，然后喝酒。
[02:18:37.959] 男：不要。
[02:18:39.359] 女：嗯，你不会想冷静一下吗？
[02:18:42.699] 男：我刚刚觉得女人，就是我真的觉得你。
[02:18:46.519] 男：我们很都很绝望。
[02:18:49.194] 男：不如。
[02:18:55.319] 女：30分布。
[02:19:03.319] 女：特别特别希望毕业之后有事情还能帮你。
[02:19:09.159] 女：嗯，我刚刚特别我刚刚不是特别特别害怕，然后要出去的。
[02:19:15.299] 男：我要饿了。
[02:19:16.919] 男：我怕我怕给你造成了负担，又不能。
[02:19:20.999] 男：又不能陪着你，然后你一个人然后又会内耗自己，我还想我还。
