[00:00:01.260] 女：开始了吗？
[01:00:26.899] 女：因为如果我去带学生的话，我必然会面临到我以前去想象到的一些问题，然后然后在我身上才是无敌。
[01:00:36.019] 女：然后然后我不想看到。
[01:00:39.019] 女：就是看到如果我要带小孩，然后我我要养小孩。
[01:00:42.979] 女：然后我要重新面临这样的问题。
[01:00:45.463] 女：然后可能我。
[01:00:47.799] 女：我同样做的并不好。
[01:00:52.179] 女：那这样这样我我能够靠我的选择去避免这种情况的出现，我为什么？
[01:00:57.119] 女：为为什么为什么还要还要选择他？
[01:01:01.459] 女：然后第二然后然后第二个就是。
[01:01:05.679] 女：嗯，哼。
[01:01:10.439] 女：我希望这个这个这个不要有任何的宠物或者怎么样。
[01:01:15.239] 女：我对怀孕这个事情我很深的。
[01:01:17.839] 女：因为我上年差点怀孕了。
[01:01:25.499] 女：做那个检查，还有出院，都是我自己一个人。
[01:01:31.279] 女：然后。
[01:01:34.499] 女：就是。
[01:01:35.799] 女：现在陈满这个人，他他说要跟我做爱做了一年多吧，发现。
[01:01:44.859] 女：然后感觉都没什么问题，结果他。
[01:01:47.899] 女：结果结果他第一次他是。
[01:01:50.519] 女：他他是他是他是想试试的进去，然后他他中途他让我去拿，相当于是相当于是五套做。
[01:02:01.479] 女：然后然后之后不让他买药什么。
[01:02:05.719] 女：就是他一直就是在回结果结果结果那个时候。
[01:02:15.439] 女：然后他他他。
[01:02:17.439] 女：哎，算了，我讲详细一点吧，那这个应该可以等待。
[01:02:21.499] 女：然后然后他他就一直一直在回避。
[01:02:26.639] 女：感觉感觉没有什么必要，因为后面。
[01:02:29.699] 女：然后然后我根据我了解到的知识说。
[01:02:33.939] 女：你哪怕他前进，你都有可能导致导导致这个这个发生。
[01:02:41.119] 女：我我不相信他是不知道的。
[01:02:44.379] 女：他他的性经历给我们太多。
[01:02:47.499] 女：然后然后他还是还是拒绝了，然后然后在那边睡觉太会。
[01:02:53.599] 女：嗯。
[01:02:55.939] 女：然后结果就是就是我需要的。
[01:03:00.799] 女：然后。
[01:03:02.119] 女：然后然后他在我知道我要吃药时候，他就。
[01:03:06.579] 女：那你不要吃药的那我们能不能。
[01:03:17.399] 女：然后我说我的。
[01:03:19.859] 女：他说他是说什么，我跟我跟那个谁，就他前女友，我们当时都。
[01:03:25.899] 女：都都都认识。
[01:03:28.239] 女：很经常经常在什么保护性不上做。
[01:03:31.339] 女：什么什么成功率百分。
[01:03:34.119] 女：然后然后他跟什么清新蜜柚也是这样搞的，就这两两种方式这种。
[01:03:40.179] 女：就叫他爽了。
[01:03:41.479] 女：他结果。
[01:03:43.379] 女：结果在那个过程中，我自杀。
[01:03:49.539] 女：因为我是第一次啊。
[01:03:53.259] 女：然后他他也没有说很多人。
[01:03:56.879] 女：然后就有点流血了，然后之后。
[01:03:59.979] 女：那天晚上我是我是跟着他。
[01:04:02.619] 女：对啊。
[01:04:03.659] 女：当时的前女友的宿舍在里面。
[01:04:10.519] 女：他跟他他朋友的事情有点复杂。
[01:04:13.419] 女：然后。
[01:04:15.639] 女：然后然后我不知道他是怎么回事。
[01:04:19.059] 女：然后然后我然后我就是在那想吃什么，我应该应该就是受伤了。
[01:04:31.299] 女：然后我本来想跟他谈谈这个事。
[01:04:34.579] 女：结果他他把他把我俩发生的事情告诉了他前女友。
[01:04:39.359] 女：然后导导导致他导导致他他暴走，然后疯狂攻击我。
[01:04:46.619] 女：然后我把我拉黑了，就是我跟他女友是也是相处了一年多的。
[01:04:52.559] 女：然后然后然后我们之间的事情都是很透明的，然后我也跟他说。
[01:04:57.319] 女：肯定要鼓励我跟他。
[01:04:59.679] 女：正常。
[01:05:00.639] 女：你可以理解为当时类似于这种。
[01:05:06.359] 女：然后。
[01:05:07.839] 女：然后然。
[01:05:10.839] 女：有非常的去。
[01:05:13.239] 女：啊，然后可能。
[01:05:16.119] 女：可能可能就影响了那个那个避孕药的样子。
[01:05:22.359] 女：反正之后之后他也没有没有。
[01:05:24.959] 女：然后是人类的那种，就是从从那个时候。
[01:05:30.059] 女：那时候一个月我都没有来。
[01:05:32.299] 女：然后我就。
[01:05:33.579] 女：我就我就我就我就我就在那在那段时间一直非常提心吊胆。
[01:05:38.199] 女：然后然后跑进院。
[01:05:41.519] 女：就是就是首先首先在那之前我就明确了，我是不可能要小孩的。
[01:05:47.379] 女：然后然后然后然后然后然后然后然后第二是第一是我我不想要打开，第二个是我们。
[01:05:55.319] 女：你没有过好年了。
[01:05:56.501] 女：一个。
[01:05:57.519] 女：我聊天了，你就出去了。
[01:06:03.639] 女：什么更有利的东西？
[01:06:05.919] 女：然后然后第二次就是，然后第四就是专专爱。
[01:06:11.819] 女：没有。
[01:06:14.839] 女：没有这个结婚的决定吗？
[01:06:16.999] 女：我我觉得我这辈子都不想。
[01:06:22.719] 女：然后然后这种事情。
[01:06:26.079] 女：这种事情你给长辈知道了？
[01:06:38.019] 女：好。
[01:06:44.659] 女：刚才说如果你有对抗。
[01:06:46.539] 女：然后你要你要就像这样知道，比如说比如说。
[01:06:50.259] 女：那么。
[01:06:51.759] 女：但但是我因为这个。
[01:07:00.679] 女：就就反正我就就。
[01:07:07.239] 女：我肯定要回。
[01:07:08.779] 女：对方的漂亮。
[01:07:11.919] 女：而而且我本来就是那种很黑的。
[01:07:22.939] 女：那么久干嘛都不知道。
[01:07:26.559] 女：啊，但是那我爸爸就。
[01:07:37.059] 女：而且我觉得我没有必要就这样。
[01:07:40.679] 女：我的伴侣是给我承担这个主意，就是他要反抗。
[01:07:45.459] 女：三号的成本太高了。
[01:07:54.239] 男：感觉你现在有点。
[01:08:03.899] 女：就是从从一个就是这个。
[01:08:11.039] 女：嗯，如果要考虑到以后的话。
[01:08:15.379] 女：所以我才问问问到你那个现在对未来的问题。
[01:08:22.239] 女：你想听我。
[01:08:23.279] 女：等一下，我在现在。
[01:08:27.019] 女：除了这个这个之外，还好像还要还要给你。
[01:08:33.439] 男：对于以后。
[01:08:34.699] 男：结婚小孩。
[01:08:37.239] 女：嗯嗯，那不拍的吗？
[01:08:42.039] 男：我的想法是这样，就是。
[01:08:46.199] 男：我我现在我现在我可以给你发誓。
[01:08:56.679] 男：我可以给你担保，我是认真。
[01:09:00.359] 男：不是为了不是为了迎合。
[01:09:02.839] 男：或者说是取得你的信任才这样的。
[01:09:07.579] 男：首先，我不喜欢我家庭。
[01:09:10.619] 男：我是一个。
[01:09:12.639] 男：大，有点大难度。
[01:09:15.039] 男：首先我不太喜欢。
[01:09:17.259] 男：所以我肯定会去。
[01:09:20.619] 男：然后。
[01:09:22.399] 男：就是针对。
[01:09:23.639] 女：于孩子的。
[01:09:25.019] 男：或者结婚了。
[01:09:30.479] 男：我的。
[01:09:33.599] 男：我的观念是这样，就是。
[01:09:37.839] 男：我只愿意跟我。
[01:09:39.899] 男：喜欢的人。
[01:09:40.999] 男：我不愿意去跟别人凑合。
[01:09:42.906] 男：为了和。
[01:09:47.099] 男：在这个基础上，如果我喜欢的人，他不愿意要小孩，或者是没有做好。
[01:09:55.459] 男：我是可以。
[01:09:57.279] 男：但我我我知道你说的这个事情。
[01:10:00.239] 男：我爸妈。
[01:10:01.559] 男：就肯定会很。
[01:10:03.759] 男：我爸妈肯定会反对这个，我可以给你肯定。
[01:10:07.239] 男：就目前来。
[01:10:09.179] 男：因为我也有在一直陪我爸妈做思想工作，让他们做好接受我。
[01:10:14.199] 男：不结婚或者是。
[01:10:16.119] 男：结了婚不要小孩子。
[01:10:18.959] 男：这个我是真的有在给他们做工作的。
[01:10:21.859] 男：虽然不知道以后。
[01:10:25.399] 男：然后。
[01:10:28.319] 男：我可以。
[01:10:29.419] 男：先跟你说我现在我爸妈的看法。
[01:10:32.999] 男：我爸。
[01:10:34.299] 男：他不是很管我，我妈的意思是。
[01:10:37.819] 男：他可以接受。
[01:10:40.979] 男：我们没有做好。
[01:10:43.339] 男：忘掉。
[01:10:44.259] 男：但是。
[01:10:45.119] 男：目前来说，他不太能接受。
[01:10:56.339] 男：对这方面感到恐惧，是我没有。
[01:11:01.359] 男：合格的伴侣。
[01:11:03.959] 男：他认为这个是。
[01:11:05.319] 男：肯定是我的。
[01:11:07.719] 男：所以目前他。
[01:11:11.699] 男：然后。
[01:11:15.019] 男：小孩子。
[01:11:20.039] 男：这个事情我先说小孩子。
[01:11:24.359] 男：我不确定。
[01:11:31.379] 男：因为我我现在不上课。
[01:11:34.919] 男：你不愿意结婚。
[01:11:36.033] 女：是因为结婚要面对要。
[01:11:37.704] 男：小孩的这个选。
[01:11:42.439] 女：第一，首先我就不愿意跟我朋友关。
[01:11:52.699] 男：然后等于。
[01:11:56.439] 男：我的观念啊。
[01:12:01.439] 男：我觉得要小孩也不要小孩也行，因为很简单。
[01:12:06.079] 男：你让我要我。
[01:12:09.619] 男：以后到什么情况下会考虑要想。
[01:12:13.799] 男：家庭事业已经到了一个。
[01:12:17.579] 男：就是经济水平吧，至少经济水平要到到了，我觉得我能给小孩合合适的生活。
[01:12:24.459] 男：的情况下。
[01:12:28.159] 男：乔志宇，不要小。
[01:12:32.959] 男：受到家里的反对吧，但是后面应该。
[01:12:36.039] 男：不是很大问题。
[01:12:40.599] 男：我我讲那个点。
[01:12:42.099] 男：我弟肯定。
[01:12:54.059] 男：我是我是会去考虑以后的事情。
[01:12:57.739] 女：嗯，是这个。
[01:12:59.259] 男：嗯，我会考虑以后，但是。
[01:13:01.759] 男：如果说我们在一点。
[01:13:04.139] 男：然后到了要谈婚。
[01:13:07.319] 男：你不愿意结婚的话。
[01:13:09.959] 男：至少我目前来说。
[01:13:14.899] 男：我会。
[01:13:16.399] 男：希望能够。
[01:13:22.399] 男：就是我不会谈。
[01:13:24.879] 男：我我希望。
[01:13:26.979] 男：说等到后面我们相处。
[01:13:30.459] 男：让你真正的认可。
[01:13:34.099] 男：是发自内心的。
[01:13:39.779] 男：能成为你的依靠。
[01:13:41.899] 男：然后是出于你自。
[01:13:45.639] 男：你愿意跟我一起走到最后。
[01:13:51.939] 男：我是这种。
[01:13:54.759] 男：就是。
[01:14:01.099] 男：然后。
[01:14:02.399] 男：你是出于这种，我觉得。
[01:14:09.439] 男：怎么说呢？
[01:14:10.227] 男：或者我换句话说吧，就是。
[01:14:13.219] 男：我，我尊重你现在不愿意结婚的。
[01:14:17.519] 男：想法。
[01:14:19.579] 男：但是因为我会考虑以后嘛，然后所以我会想。
[01:14:25.059] 男：我我的观点是，我想用自己的努力让你相信。
[01:14:30.619] 男：让让你能够相信。
[01:14:32.939] 男：欢迎。
[01:14:37.439] 男：这个样子可能现在说这个很早。
[01:14:40.939] 男：但是我的想法是这样的，就是你。
[01:14:43.559] 男：你拿我们到时候就。
[01:14:49.539] 男：然后我希望你如果。
[01:14:51.959] 男：最终同意跟我结婚，不是因为舍不得我们，无法割舍我们这段关系。
[01:14:58.079] 男：而是因为你发自内心的。
[01:15:02.879] 男：我能成为你的依靠。
[01:15:08.259] 男：我的想法是这样。
[01:15:57.299] 女：你怎么这么认真啊，张医生。
[01:16:05.919] 女：烦死了。
[01:17:00.959] 男：会让你很有压力。
[01:17:04.439] 男：我让你感到压力的话，想对你道歉。
[01:17:31.039] 女：我觉得我要说的事情才比较有压，也没有那么有压力吧。
[01:17:45.479] 女：讨厌你吗？
[01:17:52.639] 女：没有没有。
[01:18:03.999] 男：会不会。
[01:18:06.079] 男：虽然我说我不想给你啊。
[01:18:08.319] 男：不过我的那句话。
[01:18:10.099] 男：我现在也不。
[01:18:46.119] 女：谁在走啊？
[01:18:50.119] 女：真的吗？
[01:19:02.059] 女：一定会有。
[01:19:06.959] 女：但我没有察觉到。
[01:19:11.379] 男：所以我。
[01:19:18.179] 女：先放着。
[01:19:20.019] 女：没事，你说。
[01:19:21.379] 男：哪个先放着。
[01:19:22.623] 女：没事，你说。
[01:19:25.439] 男：就是我感觉你在开口说详细点的时候，你就已经开始。
[01:19:32.039] 男：很容易使得。
[01:19:42.639] 男：因为我。
[01:19:47.459] 男：只有通过这种方。
[01:19:57.919] 女：嗯，我觉得有，哎，我再跟你理一下，我跟那个人。
[01:20:01.419] 女：说他可能会，他应该引出来。
[01:20:03.130] 女：我刚刚跟你说的。
[01:20:07.839] 女：好了，我看聊天记录都没有看。
[01:20:31.359] 女：呃。
[01:20:34.839] 女：包包上开始。
[01:20:36.519] 女：我凭着我的。
[01:20:43.099] 男：没事。
[01:20:53.199] 女：而且他不一定很全面。
[01:20:55.979] 女：嗯，只能这个大概。
[01:20:58.719] 女：我和佛山是啥时候认识的？
[01:21:00.822] 女：2024年。
[01:21:02.519] 女：你还好吗？
[01:21:05.879] 女：你要说不用不能听，不要能听。
[01:21:08.659] 女：2024年10月底。
[01:21:10.899] 女：12 16号是。
[01:21:15.039] 女：嗯，我是。
[01:21:17.059] 女：这是一个人，有个第一个人在回川。
[01:21:20.819] 女：接着跟人家。
[01:21:22.859] 女：这俩都是吃的。
[01:21:24.939] 女：然后我202。
[01:21:31.839] 男：你跟我们不是一批吗？
[01:21:35.119] 男：我们不是23年9月2323年吗？
[01:21:38.959] 女：确实我还的。
[01:21:41.959] 女：然后。
[01:21:45.039] 女：然后因为我。
[01:21:48.099] 女：强力不得当了，我想到哪说到哪了。
[01:21:53.499] 女：比较有帮助。
[01:21:56.559] 女：怎么说呢？
[01:21:57.807] 女：我。
[01:22:00.059] 女：很低吗？
[01:22:02.079] 男：又迫不及待。
[01:22:03.419] 男：我看了也是。
[01:22:06.499] 女：我是6月6月从高中毕的业。
[01:22:09.939] 女：在那之前，我差点死了。
[01:22:13.279] 女：那三那3年9月5。
[01:22:16.059] 女：我我意外的进入了本科大学，因为大家当时大家都觉得我上不了。
[01:22:21.719] 女：我就选择上面的。
[01:22:23.899] 女：没想到还是进去，而且还还还进了文学。
[01:22:28.679] 女：然后我本来。
[01:22:29.839] 女：本来想的是。
[01:22:31.399] 女：就就普通版没想到变成精彩版，然后在九月到10月这段时间非常非常非常的压抑。
[01:22:39.319] 女：就是就经常发，你懂的，这课表全是满的，然后从早上六点到晚上七点钟，晚上八点你都要。
[01:22:46.459] 女：然后还有就说那个侯英杰和那个。
[01:22:50.599] 女：恶心的制度。
[01:22:51.574] 女：然后然后然后那段时间我没想到上大学过得这么痛苦。
[01:22:57.859] 女：你就非要让我渴望能有一个地方能够让我。
[01:23:01.659] 女：就是。
[01:23:03.779] 男：放松下来。
[01:23:06.119] 女：内心里有这种想法吧。
[01:23:09.499] 女：就觉得很痛苦。
[01:23:11.179] 女：然后在十月初。
[01:23:13.499] 女：就是我在路上遇到了一个一个老师，然后他他跟我说了施舍的事情，就就是跟我跟我推销的陪伴，然后跟我说然后就就是我就说到我是文学什么的，就聊到聊文学。
[01:23:26.679] 女：然后他就讲到你们可以办一个书。
[01:23:29.719] 女：也是很厉害哦。
[01:23:31.639] 女：然后他正好拿拿那个十，拿了什么二等。
[01:23:35.319] 女：哎呀，好厉害，科科哎。
[01:23:37.499] 女：他就跟我讲到了后路。
[01:23:39.579] 女：然后当时就想能不能跟那个学姐沟通一下，然后当当时就是这么认识赫洛的。
[01:23:45.459] 女：就是聊了一下啊过一班的事情啊，写诗的事情啊嗯。
[01:23:50.319] 女：嗯。
[01:23:51.699] 女：最开始丢捆绑我是为了逃避。
[01:23:54.319] 女：逃避第三班的惋惜。
[01:23:57.239] 女：然后也有一方面是想认识朋友。
[01:23:59.539] 女：然后因为这个这个家还是有点大。
[01:24:02.039] 女：然后这个时候我就知道出事了。
[01:24:04.384] 女：然后后来陈思雨呢，他也跟我讲到，黄浩斌这个老师很厉害呀，我靠，好像这种傻逼地方。
[01:24:12.199] 女：然后看了一下履历，还不错，学生评价很好，有的时候让我去听一下。
[01:24:16.559] 女：然后是十月的时候听了一次黄斌的课，然后知道家里然后那个时候听了校编。
[01:24:21.825] 女：当时校编辑部我进了两个，也在新媒体。
[01:24:24.759] 女：孝心媒体，一个是院编机制，然后两个都干得很。
[01:24:29.159] 女：也很糟糕，给我压力特别特别大。
[01:24:31.979] 女：人家学姐什么官位，乌鸦着呢。
[01:24:34.759] 女：然后对接流程做的狗屎。
[01:24:38.539] 女：等那个时候知道。
[01:24:40.299] 女：这色好屌啊。
[01:24:41.819] 女：然后就看到了金小鱼，然后当时就在那个苑编辑部知道了知道了陈鹏远。
[01:24:47.219] 女：然后后面后面后面那个佳涵学姐，还有陈思雨都有告诉我有一个实惠。
[01:24:53.899] 女：然后然后然后霍洛就就把我拉过去说不要停。
[01:24:58.479] 女：然后大概就是就是这个时候，我同时有个。
[01:25:01.839] 女：脱落，然后破一半，而且是去认识的。
[01:25:05.239] 女：然后然后定了分手，就是10月10月底认识的合川，就是在那个在那个第一次实会的时候。
[01:25:12.819] 女：好的。
[01:25:14.779] 女：好好美妙的。
[01:25:19.639] 女：到时候我在那个时候给我带了一杯奶茶。
[01:25:22.179] 女：结束之后，我又认识他，然后他在等陈小纭和何川两个人，还有吴正荣。
[01:25:28.379] 女：不对不对，那是不在错了。
[01:25:31.239] 女：然后然后我们晚上结束之后就绕着操场聊天，然后和他一直在说话，然后我就发现挺想他，但是我昨天加加了人力。
[01:25:39.839] 女：然后然后当时我听。
[01:25:42.379] 女：我那个时候上学，我第一次上学，可惜不知道。
[01:25:46.899] 女：我听了核酸那个事情了好久。
[01:25:49.579] 女：然后然后结束之后加了微信，然后就跟他聊，我操你居然是那种。
[01:25:55.259] 女：然后就想问你一下。
[01:25:57.839] 女：然后我跟我上那个时候就敢上。
[01:26:00.919] 女：10月26号。
[01:26:06.359] 女：然后然后当时就觉得这个学长怎么这么能聊啊，你应该跟他是一样的，你应该也是一样的感受，应该很主动，还没讲话。
[01:26:15.859] 女：然后过几天好像是万盛吧嗯有个读书会，我也跑过去。
[01:26:19.852] 女：然后那个时候我真的对这些东西很敏感。
[01:26:23.079] 女：治疗那个刘慈欣的一个一个科幻科幻田园小。
[01:26:28.859] 女：科幻跟田这两个词语能放在一起吗？
[01:26:31.374] 女：乡村教师吧。
[01:26:32.212] 男：嗯我知道那个。
[01:26:34.199] 女：然后然后我说然后我说他说你在干嘛？
[01:26:37.043] 女：好无聊。
[01:26:37.576] 女：我说我在看读书会，你说有这种事情就不要跑完了，你就你叫我妈说你过来啊，那个时候我我没有看过那个。
[01:26:45.539] 女：那个小说就在旁边听他们讲，我就是想在那边听他们讨论做笔记，然后我想在那边大摇。
[01:26:53.799] 女：我们两个一起走嘛，因为认识，然后走在你之前视频。
[01:27:06.439] 女：我就问他我就问了他最近有什么能玩？
[01:27:09.339] 女：然后他就说就是可以这么走，就是附近有哪些地方啊，然后你可以怎么走。
[01:27:15.179] 女：这样子，然后他就说反正大我大二这些地方都走遍了。
[01:27:19.879] 女：你很无聊。
[01:27:24.759] 女：牛皮下来。
[01:27:26.579] 女：然后。
[01:27:27.979] 女：啊，那个时候还没有说逛逛，然后就是到了万圣节，他说他发条朋友圈说好无聊，好想有一起玩。
[01:27:37.579] 女：应该就是从那天出去玩开始。
[01:27:42.619] 女：有外出啊，然后中午一起吃饭什么的，然后就是有一天应该就是11月。
[01:27:48.339] 女：11月。
[01:27:50.479] 女：哦，我在学化妆之前我就知道。
[01:27:54.619] 女：在那个时候关注了回南天，好像这个账号还做的挺好的。
[01:27:58.879] 女：然后就是。
[01:28:00.259] 女：张合川，他当时跟小马关系很好。
[01:28:03.839] 女：然后呢，他他就跟我吃饭的时候想到了他的。
[01:28:08.999] 女：然后给我推了他的公众号。
[01:28:11.359] 女：然后那个时候。
[01:28:13.019] 女：师傅给我提供了一个非常新的视角。
[01:28:17.599] 女：就是他是我整个中学梦寐以求的一个可以纯粹讨论文学的平台。
[01:28:23.219] 女：所以我就进去了。
[01:28:25.979] 女：然后然后然后因为那时穷马知道了琼马的公众号，我们就去关注他了。
[01:28:31.517] 女：然后他发了一他还发了一篇推文说我们这边有一个。
[01:28:35.859] 女：诗歌闲聊曲就是诗人低，但是又不是小吃的一个很日常的闲聊群啊，我那个时候非常。
[01:28:44.439] 女：希望去得到一个新的社交关系。
[01:28:50.779] 女：那个啥。
[01:28:52.019] 女：过期了能不能邀我，但是ok你私加我吧，不要把我邀。
[01:28:58.119] 女：然后。
[01:28:59.399] 女：11月11月底加上的。
[01:29:04.639] 女：然后然后我们也是一加上就聊得很开心，就有点一见如故的感觉吧。
[01:29:11.559] 女：那时候也是因为。
[01:29:16.359] 女：头像是因为时隔筹码是因为他当时的头像是我。
[01:29:20.539] 女：很想玩的一个游戏的女主的头像。
[01:29:25.239] 女：居然也知道这个，因为它是一个很小众的一个像素RPG游戏，他给我发了一个。
[01:29:31.299] 女：那个文件。
[01:29:39.419] 女：然后在在那一个月之内，我们的关系就迅速亲近一些了。
[01:29:43.083] 女：他就有跟我讲到。
[01:29:44.979] 女：嗯，他女友啊的那些事情，然后就有聊到那个姓。
[01:29:50.219] 女：这是他的一些性情里。
[01:29:52.529] 女：然后正好那段时间我。
[01:29:56.159] 女：我跟一个男性朋友也聊过这个东西。
[01:30:00.039] 女：然后然后又因为我我本来以前一直是觉得我是。
[01:30:05.639] 女：我不可能接触接接触恋爱相相关的话题，就是因为我复习之后那个班。
[01:30:14.819] 女：他好像是在我们的时候，他已经失恋了。
[01:30:18.619] 女：哎呀，我那个女生太好了，爱情好美好。
[01:30:21.367] 女：然后就跟我们说，我们虽然现在学习很。
[01:30:25.239] 女：但是但是爱情这个东西，他们。
[01:30:28.039] 女：嗯。
[01:30:29.139] 女：就是为了我们我们的人会发火，让他脚变得白色，他就发货跳下去。
[01:30:35.899] 女：你们可以尝试一下。
[01:30:38.499] 女：然后就因为我我很少。
[01:30:43.639] 女：从原来的不可能。
[01:30:45.639] 女：一个比较开放的。
[01:30:46.559] 女：就是我不抗拒他的发生，但是如果他来了的话，我我也许会想看一下他是什么样子。
[01:30:52.659] 女：就是就是在就是在这时候，我救了大学，遇到了川。
[01:30:57.679] 女：然后然后然后然后就因为聊到了那个什么。
[01:31:01.479] 女：欢迎你。
[01:31:03.179] 女：他他讲到我就觉得。
[01:31:05.839] 女：开放的去跟另外一个人想啊。
[01:31:07.859] 女：我就听他说了好多好多。
[01:31:09.959] 女：然后就是从这个时候，他他第一次跟我说。
[01:31:12.959] 女：我对，就是我在里面。
[01:31:15.979] 女：就是就是其实你也在我的那样介绍呀，在我们。
[01:31:19.239] 女：但我没告诉我。
[01:31:21.419] 男：小马说的。
[01:31:22.447] 男：熊话说。
[01:31:24.999] 女：二年后。
[01:31:27.599] 男：就是从那个那个时候就开始跟你说，他想跟你。
[01:31:32.659] 女：我们是在202。
[01:31:38.039] 女：2023年11月。
[01:31:43.339] 女：是我们这个20 2025年海啸。
[01:31:50.099] 女：这么这么久。
[01:31:54.179] 女：真的就是一种非常。
[01:31:56.419] 女：真诚的，然后比较礼貌的一个好一个一个经历分享的。
[01:32:03.239] 女：然后我就我就觉得ok啊，就是。
[01:32:08.179] 女：他们那。
[01:32:14.439] 女：桃子还要吗？
[01:32:23.279] 女：那这个花我留着。
[01:32:30.739] 男：可以帮我。
[01:32:38.039] 女：然后这个时候他跟他的前女友刚分手，那个前女友我就不叫他名字了，因为他也不乖。
[01:32:45.779] 女：嗯，没关系，嗯，他叫他叫他什么叫他A吧A。
[01:32:49.679] 女：还有两个理由，一个是一个是。
[01:32:53.359] 男：那不好意思，那在这方面我真的是一个很。
[01:32:56.239] 男：的人我认为只能跟一个人谈。
[01:33:00.639] 女：然后。
[01:33:02.079] 女：然后那个时候他是刚跟A分手，然后他跟我聊的时候就是这么这么状态。
[01:33:09.039] 女：然后他们其实他们当时其实还在拉扯，就是在那个群里面，他们也也会吵架，我真的也在里面也跟了一下。
[01:33:18.279] 女：然后。
[01:33:19.599] 女：嗯，然后后面就是十一、12月，老白。
[01:33:22.919] 女：然后我也是带我去的人。
[01:33:25.819] 女：就是这个这两个应该应该也在，就是他们两个是同一个学校。
[01:33:36.739] 女：然后他在跟我聊的时候。
[01:33:40.459] 女：这是环境的力量。
[01:33:43.079] 女：然后我是在12月。
[01:33:45.899] 女：就是这11月12月还是。
[01:33:48.539] 女：他他跟我说他这样，他他他有那。
[01:33:51.279] 女：都不想跟我做。
[01:33:53.059] 女：然后后面应该在一月还是12月底，他跟我说啊，他俩谈了，我就很开心。
[01:34:01.059] 女：然后后面二月份。
[01:34:02.899] 女：二月份二月份。
[01:34:04.547] 男：这个是24年. 
[01:34:06.195] 女：二三年。
[01:34:07.259] 女：对，这个是20224了吧，2024年1月份。
[01:34:11.026] 女：嗯，对，大概12月底的时候，他们俩他他们俩说确定关系了，然后他就非常非常开心他来跟我分享。
[01:34:19.259] 女：然后大概二月份的时候，他说你想认识我想跟我做好朋友。
[01:34:24.399] 女：然后那个时候我们俩加上，然后然后你上次。
[01:34:28.151] 男：你刚刚提到的那个。
[01:34:29.979] 女：前女友就是自己。
[01:34:33.839] 女：你你。
[01:34:37.799] 男：我听的好生气。
[01:34:39.147] 女：他整一年宝宝宝宝的叫我。
[01:34:42.279] 女：就是他们俩。
[01:34:43.555] 男：感觉B可能是我把。
[01:34:45.739] 男：可能是我是我我我没有参与其中吧。
[01:34:48.979] 男：你在我的视角，我听你的描述，我感觉是他们两个一起骗的。
[01:34:56.439] 男：我我个人没事，我不说这个。
[01:34:59.159] 男：我我不破坏他们你心中的一切。
[01:35:01.999] 女：不是不是不是。
[01:35:03.759] 女：我心中对他没有印象了，我觉得很无语。
[01:35:07.166] 女：他。
[01:35:07.979] 女：怎么说呢？
[01:35:08.747] 女：你要是加到他的话，你应该就觉得就觉得这个人有。
[01:35:13.759] 男：继续说吧。
[01:35:15.039] 女：嗯，然后他他他是他他有那种社会功能的，就是来讲导的时候他就不知道说什么。
[01:35:23.939] 女：然后然后就是我们两个聊的很高级。
[01:35:29.719] 女：一个漂亮。
[01:35:32.119] 女：然后然后他弹的这两个都是有有人那种。
[01:35:37.619] 女：就是在以前有过对于男性和性上面的创伤，比如说A的A的前男友。
[01:35:43.739] 女：也是也是做过违反他意志，然后要做的一些事情，闹得很不愉快。
[01:35:49.499] 女：然后后面后面他们俩也其实也是因为类似的事情闹掰，但是当时AAA找穷嘛，我刚加上他他他差点。
[01:35:59.479] 女：就是说他他们两个吵架。
[01:36:01.959] 女：然后然后然后在那个群里面，各种在他的公众号上面破坏，就是骂他。
[01:36:07.999] 女：然后穷妈他他他就跟我说。
[01:36:10.759] 女：他就要我相信他他不是他不是快。
[01:36:14.379] 女：他对我的朋友我也不了解，他们觉得自己发生什么。
[01:36:18.039] 女：我就不评论说ok我相信你。
[01:36:20.109] 女：然后他当时就。
[01:36:21.699] 女：回避了一段时间，那所有人的一个。
[01:36:24.679] 女：可能就是并没有。
[01:36:26.979] 女：然后后面。
[01:36:28.419] 女：然后然后逼他他高中的时候被他单纯，被他数学老师。
[01:36:34.799] 女：但是后面因为因为在东北。
[01:36:37.679] 女：然后那边的光亮其实由浅。
[01:36:40.119] 女：这个事情后来不了了之了。
[01:36:42.879] 女：所以他他在这这方面是有创伤，但是他同时又非常需要和男性建立恋爱吧。
[01:36:50.979] 男：应该是那种。
[01:36:53.299] 男：通过一一段健康的关系来治愈。
[01:36:57.419] 女：这个人很复杂的。
[01:36:58.959] 女：他。
[01:37:00.039] 男：单纯这一点，就我我不考虑有的有的。
[01:37:02.796] 女：他他在这个层面肯定是有。
[01:37:07.899] 女：然后。
[01:37:10.119] 女：然后中间中间差不多都是就是我们有在有在聊。
[01:37:16.839] 女：嗯，然后大概是四月。
[01:37:20.739] 女：我现在。
[01:37:22.579] 女：等下合穿合穿穿什么时候？
[01:37:25.679] 女：就是我我在跟他相处的时候，和我在跟同事相处。
[01:37:29.479] 女：就是。
[01:37:31.739] 女：你还好吗？
[01:37:36.679] 女：是，这是我哥，我，但是我上上学的时候。
[01:37:49.059] 女：11月份。
